Characteristic,Overall,Hyper,Normal,Hypo,P_Outcome,Training,Test,P_Split
"Outcome class, n (%)",,,,,,,,
  Hyper,339 (33.8%),339 (33.8%),0 (0.0%),0 (0.0%),,259 (32.6%),80 (38.5%),0.114
  Normal,424 (42.3%),0 (0.0%),424 (42.3%),0 (0.0%),,349 (43.9%),75 (36.1%),
  Hypo,240 (23.9%),0 (0.0%),0 (0.0%),240 (23.9%),,187 (23.5%),53 (25.5%),
Demographics,,,,,,,,
"Male, n (%)",246 (24.5%),84 (24.8%),88 (20.8%),74 (30.8%),0.015,178 (22.4%),68 (32.7%),0.003
Disease burden / treatment,,,,,,,,
"Exophthalmos, n (%)",1002 (100.0%),338 (100.0%),424 (100.0%),240 (100.0%),0.375,794 (100.0%),208 (100.0%),1.000
"Age, median (IQR)","41.00 (32.00, 56.00)","41.00 (31.00, 57.00)","42.00 (32.00, 55.00)","41.50 (32.75, 55.00)",0.916,"41.00 (32.00, 56.00)","41.00 (31.00, 57.00)",0.635
"Height, median (IQR)","1.64 (1.60, 1.70)","1.64 (1.60, 1.69)","1.64 (1.60, 1.68)","1.65 (1.60, 1.70)",0.178,"1.64 (1.60, 1.69)","1.65 (1.59, 1.70)",0.582
"Weight, median (IQR)","60.00 (54.00, 68.00)","61.00 (53.50, 67.00)","60.00 (53.00, 67.00)","62.00 (55.00, 70.75)",0.056,"60.00 (54.00, 67.00)","59.50 (53.75, 70.50)",0.998
"BMI, median (IQR)","22.41 (20.43, 24.46)","22.50 (20.54, 24.41)","22.10 (20.20, 24.44)","22.65 (20.83, 24.68)",0.220,"22.41 (20.45, 24.44)","22.59 (18.91, 25.97)",0.767
"Thyroid weight, median (IQR)","26.65 (18.73, 42.10)","37.95 (23.70, 61.00)","22.80 (16.85, 33.60)","24.00 (18.30, 33.80)",<0.001,"25.80 (18.20, 40.60)","29.90 (20.00, 48.50)",0.009
"RAI 3d uptake, median (IQR)","2.40 (1.60, 3.90)","3.10 (1.90, 5.22)","2.20 (1.50, 3.15)","2.30 (1.80, 3.40)",<0.001,"2.40 (1.60, 3.80)","2.55 (1.68, 4.00)",0.732
"Treatment count, median (IQR)","1.00 (1.00, 1.00)","1.00 (1.00, 1.00)","1.00 (1.00, 1.00)","1.00 (1.00, 1.00)",0.066,"1.00 (1.00, 1.00)","1.00 (1.00, 1.00)",0.053
"Dose, median (IQR)","5.00 (4.00, 8.00)","6.00 (4.00, 11.00)","5.00 (3.00, 7.00)","5.00 (4.00, 7.00)",<0.001,"5.00 (3.00, 8.00)","6.00 (4.00, 8.25)",0.016
"24h uptake, median (IQR)","0.68 (0.60, 0.73)","0.68 (0.61, 0.74)","0.68 (0.59, 0.73)","0.68 (0.60, 0.74)",0.443,"0.68 (0.60, 0.74)","0.68 (0.62, 0.70)",0.007
"Max uptake, median (IQR)","0.76 (0.69, 0.82)","0.77 (0.70, 0.82)","0.76 (0.68, 0.82)","0.76 (0.70, 0.83)",0.719,"0.76 (0.69, 0.83)","0.76 (0.70, 0.79)",0.318
"Half-life, median (IQR)","5.30 (4.30, 6.30)","5.20 (4.20, 6.30)","5.40 (4.50, 6.40)","5.10 (4.22, 6.00)",0.281,"5.30 (4.40, 6.30)","5.05 (4.20, 5.78)",0.078
Immunology / baseline labs,,,,,,,,
"TGAb, median (IQR)","29.45 (20.00, 191.00)","25.70 (20.00, 168.50)","34.40 (20.00, 207.50)","28.60 (20.00, 191.00)",0.658,"31.70 (20.00, 239.00)","26.80 (20.00, 101.30)",0.098
"TPOAb, median (IQR)","405.00 (59.60, 1000.00)","440.00 (75.90, 1000.00)","311.00 (37.40, 1000.00)","511.00 (89.20, 1000.00)",0.038,"406.00 (59.52, 1000.00)","371.00 (59.60, 1000.00)",0.691
"TRAb, median (IQR)","15.52 (6.69, 29.69)","19.63 (7.16, 36.58)","12.50 (5.94, 24.27)","17.84 (8.53, 29.12)",<0.001,"14.64 (6.67, 29.19)","17.63 (6.81, 32.19)",0.113
"FT3 0M, median (IQR)","16.64 (9.47, 30.72)","19.80 (10.30, 30.72)","15.73 (8.81, 29.62)","16.73 (10.11, 30.72)",0.011,"16.58 (9.41, 30.72)","16.95 (9.55, 30.72)",0.679
"FT4 0M, median (IQR)","28.09 (19.70, 37.77)","29.32 (19.52, 41.49)","27.41 (19.37, 37.20)","27.76 (20.62, 35.25)",0.136,"27.56 (19.42, 37.50)","29.40 (20.52, 40.06)",0.245
"TSH 0M, median (IQR)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)",0.516,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)",0.658
