feature,coefficient,abs_coefficient,selected
FT3_6M,1.4507349274054069,1.4507349274054069,True
FT3_3M,0.7137625357291199,0.7137625357291199,True
ThyroidW,0.46985207955862124,0.46985207955862124,True
FT4_3M,0.4698098582386831,0.4698098582386831,True
TSH_3M,-0.22817786460422504,0.22817786460422504,True
FT4_1M,0.21943004805570474,0.21943004805570474,True
Height,-0.10706589218928284,0.10706589218928284,True
Age,0.05423824130787955,0.05423824130787955,True
D_TSH_6M-0M,-0.04295167534083355,0.04295167534083355,True
Uptake24h,0.04145829453737675,0.04145829453737675,True
Exophthalmos,0.025790788076920385,0.025790788076920385,True
FT4_6M,0.009563899784690227,0.009563899784690227,True
D_TSH_3M-0M,-0.005504135368910695,0.005504135368910695,True
Sex,0.0,0.0,False
Weight,0.0,0.0,False
BMI,0.0,0.0,False
RAI3d,0.0,0.0,False
TreatCount,0.0,0.0,False
TGAb,0.0,0.0,False
TPOAb,0.0,0.0,False
TRAb,0.0,0.0,False
MaxUptake,0.0,0.0,False
HalfLife,0.0,0.0,False
Dose,0.0,0.0,False
FT3_0M,0.0,0.0,False
FT4_0M,0.0,0.0,False
TSH_0M,0.0,0.0,False
FT3_1M,0.0,0.0,False
TSH_1M,0.0,0.0,False
TSH_6M,0.0,0.0,False
D_FT3_3M-0M,0.0,0.0,False
D_FT4_3M-0M,0.0,0.0,False
D_FT3_6M-0M,0.0,0.0,False
D_FT4_6M-0M,0.0,0.0,False
D_FT3_6M-3M,0.0,0.0,False
D_FT4_6M-3M,0.0,0.0,False
D_TSH_6M-3M,0.0,0.0,False
