Task,Domain,Domain_Label,Model,Metric_Key,Metric,Value,Threshold,N,Events
3-Month,Train_Fit,Train Fit,Logistic Reg.,auc,AUC,0.8670042643923241,0.32000000000000006,795,259
3-Month,Train_Fit,Train Fit,Logistic Reg.,recall,Sensitivity,0.7181467181467182,0.32000000000000006,795,259
3-Month,Train_Fit,Train Fit,Logistic Reg.,specificity,Specificity,0.8246268656716418,0.32000000000000006,795,259
3-Month,Train_Fit,Train Fit,Logistic Reg.,f1,F1,0.6901669758812616,0.32000000000000006,795,259
3-Month,Train_Fit,Train Fit,Logistic Reg.,bacc,Balanced Acc,0.7713867919091799,0.32000000000000006,795,259
3-Month,Validation_OOF,Validation OOF,Logistic Reg.,auc,AUC,0.8521653316429435,0.32000000000000006,795,259
3-Month,Validation_OOF,Validation OOF,Logistic Reg.,recall,Sensitivity,0.722007722007722,0.32000000000000006,795,259
3-Month,Validation_OOF,Validation OOF,Logistic Reg.,specificity,Specificity,0.8302238805970149,0.32000000000000006,795,259
3-Month,Validation_OOF,Validation OOF,Logistic Reg.,f1,F1,0.6964618249534451,0.32000000000000006,795,259
3-Month,Validation_OOF,Validation OOF,Logistic Reg.,bacc,Balanced Acc,0.7761158013023685,0.32000000000000006,795,259
3-Month,Test_Temporal,Temporal Test,Logistic Reg.,auc,AUC,0.8384765625,0.32000000000000006,208,80
3-Month,Test_Temporal,Temporal Test,Logistic Reg.,recall,Sensitivity,0.7625,0.32000000000000006,208,80
3-Month,Test_Temporal,Temporal Test,Logistic Reg.,specificity,Specificity,0.78125,0.32000000000000006,208,80
3-Month,Test_Temporal,Temporal Test,Logistic Reg.,f1,F1,0.7218934911242604,0.32000000000000006,208,80
3-Month,Test_Temporal,Temporal Test,Logistic Reg.,bacc,Balanced Acc,0.771875,0.32000000000000006,208,80
3-Month,Train_Fit,Train Fit,Elastic LR,auc,AUC,0.8675589235290728,0.34,795,259
3-Month,Train_Fit,Train Fit,Elastic LR,recall,Sensitivity,0.6988416988416989,0.34,795,259
3-Month,Train_Fit,Train Fit,Elastic LR,specificity,Specificity,0.832089552238806,0.34,795,259
3-Month,Train_Fit,Train Fit,Elastic LR,f1,F1,0.6830188679245283,0.34,795,259
3-Month,Train_Fit,Train Fit,Elastic LR,bacc,Balanced Acc,0.7654656255402524,0.34,795,259
3-Month,Validation_OOF,Validation OOF,Elastic LR,auc,AUC,0.8493632224975508,0.34,795,259
3-Month,Validation_OOF,Validation OOF,Elastic LR,recall,Sensitivity,0.6872586872586872,0.34,795,259
3-Month,Validation_OOF,Validation OOF,Elastic LR,specificity,Specificity,0.8432835820895522,0.34,795,259
3-Month,Validation_OOF,Validation OOF,Elastic LR,f1,F1,0.6833013435700576,0.34,795,259
3-Month,Validation_OOF,Validation OOF,Elastic LR,bacc,Balanced Acc,0.7652711346741197,0.34,795,259
3-Month,Test_Temporal,Temporal Test,Elastic LR,auc,AUC,0.8386718750000001,0.34,208,80
3-Month,Test_Temporal,Temporal Test,Elastic LR,recall,Sensitivity,0.7625,0.34,208,80
3-Month,Test_Temporal,Temporal Test,Elastic LR,specificity,Specificity,0.8046875,0.34,208,80
3-Month,Test_Temporal,Temporal Test,Elastic LR,f1,F1,0.7349397590361446,0.34,208,80
3-Month,Test_Temporal,Temporal Test,Elastic LR,bacc,Balanced Acc,0.78359375,0.34,208,80
3-Month,Train_Fit,Train Fit,SVM,auc,AUC,0.8891113928427362,0.37000000000000005,795,259
3-Month,Train_Fit,Train Fit,SVM,recall,Sensitivity,0.752895752895753,0.37000000000000005,795,259
3-Month,Train_Fit,Train Fit,SVM,specificity,Specificity,0.8638059701492538,0.37000000000000005,795,259
3-Month,Train_Fit,Train Fit,SVM,f1,F1,0.7400379506641366,0.37000000000000005,795,259
3-Month,Train_Fit,Train Fit,SVM,bacc,Balanced Acc,0.8083508615225034,0.37000000000000005,795,259
3-Month,Validation_OOF,Validation OOF,SVM,auc,AUC,0.8394189765458424,0.37000000000000005,795,259
3-Month,Validation_OOF,Validation OOF,SVM,recall,Sensitivity,0.6872586872586872,0.37000000000000005,795,259
3-Month,Validation_OOF,Validation OOF,SVM,specificity,Specificity,0.832089552238806,0.37000000000000005,795,259
3-Month,Validation_OOF,Validation OOF,SVM,f1,F1,0.6755218216318786,0.37000000000000005,795,259
3-Month,Validation_OOF,Validation OOF,SVM,bacc,Balanced Acc,0.7596741197487467,0.37000000000000005,795,259
3-Month,Test_Temporal,Temporal Test,SVM,auc,AUC,0.83583984375,0.37000000000000005,208,80
3-Month,Test_Temporal,Temporal Test,SVM,recall,Sensitivity,0.75,0.37000000000000005,208,80
3-Month,Test_Temporal,Temporal Test,SVM,specificity,Specificity,0.8046875,0.37000000000000005,208,80
3-Month,Test_Temporal,Temporal Test,SVM,f1,F1,0.7272727272727273,0.37000000000000005,208,80
3-Month,Test_Temporal,Temporal Test,SVM,bacc,Balanced Acc,0.77734375,0.37000000000000005,208,80
3-Month,Train_Fit,Train Fit,Random Forest,auc,AUC,0.9413501988128854,0.4100000000000001,795,259
3-Month,Train_Fit,Train Fit,Random Forest,recall,Sensitivity,0.9111969111969112,0.4100000000000001,795,259
3-Month,Train_Fit,Train Fit,Random Forest,specificity,Specificity,0.8041044776119403,0.4100000000000001,795,259
3-Month,Train_Fit,Train Fit,Random Forest,f1,F1,0.7866666666666666,0.4100000000000001,795,259
3-Month,Train_Fit,Train Fit,Random Forest,bacc,Balanced Acc,0.8576506944044258,0.4100000000000001,795,259
3-Month,Validation_OOF,Validation OOF,Random Forest,auc,AUC,0.8500115253846597,0.4100000000000001,795,259
3-Month,Validation_OOF,Validation OOF,Random Forest,recall,Sensitivity,0.7992277992277992,0.4100000000000001,795,259
3-Month,Validation_OOF,Validation OOF,Random Forest,specificity,Specificity,0.7574626865671642,0.4100000000000001,795,259
3-Month,Validation_OOF,Validation OOF,Random Forest,f1,F1,0.6946308724832215,0.4100000000000001,795,259
3-Month,Validation_OOF,Validation OOF,Random Forest,bacc,Balanced Acc,0.7783452428974817,0.4100000000000001,795,259
3-Month,Test_Temporal,Temporal Test,Random Forest,auc,AUC,0.8490234375000001,0.4100000000000001,208,80
3-Month,Test_Temporal,Temporal Test,Random Forest,recall,Sensitivity,0.8125,0.4100000000000001,208,80
3-Month,Test_Temporal,Temporal Test,Random Forest,specificity,Specificity,0.75,0.4100000000000001,208,80
3-Month,Test_Temporal,Temporal Test,Random Forest,f1,F1,0.7344632768361582,0.4100000000000001,208,80
3-Month,Test_Temporal,Temporal Test,Random Forest,bacc,Balanced Acc,0.78125,0.4100000000000001,208,80
3-Month,Train_Fit,Train Fit,Balanced RF,auc,AUC,0.8937215467066214,0.5900000000000002,795,259
