Model,Horizon_Months,Known_N,Events,AUC,PR_AUC,Brier
AG Cox [markov_lite],2.0,213,15,0.7612794612794613,0.1419319242245072,0.06469056702546098
AG Cox [markov_lite],3.0,191,19,0.8332313341493267,0.35576218077743904,0.07679148108854916
AG Cox [markov_lite],6.0,182,31,0.8361461226233711,0.4523507086642323,0.11405745006486977
AG Cox [markov_lite],12.0,159,37,0.7731501993797076,0.46861660474457645,0.15136839764778987
PWP Gap Cox [markov_lite],2.0,213,15,0.6444444444444445,0.09786537869168724,0.06823876462086434
PWP Gap Cox [markov_lite],3.0,191,19,0.6814565483476132,0.14625839608651175,0.09288099327735838
PWP Gap Cox [markov_lite],6.0,182,31,0.6440931424909206,0.21494329098529497,0.15084861088406712
PWP Gap Cox [markov_lite],12.0,159,37,0.664599025254763,0.3371782608489172,0.1773881564999755
AG Cox [history_augmented],2.0,213,15,0.7474747474747475,0.14122573721852671,0.06512566790960544
AG Cox [history_augmented],3.0,191,19,0.8209914320685434,0.3322992145469293,0.07771060788679754
AG Cox [history_augmented],6.0,182,31,0.8331553086947233,0.4343498524082834,0.11635687498228638
AG Cox [history_augmented],12.0,159,37,0.7760301284891449,0.4627400280979863,0.153299129770251
PWP Gap Cox [history_augmented],2.0,213,15,0.6232323232323232,0.093204158882269,0.069695582696701
PWP Gap Cox [history_augmented],3.0,191,19,0.6615667074663402,0.14050476697974526,0.09563728617520828
PWP Gap Cox [history_augmented],6.0,182,31,0.6242255928220466,0.20808495971557403,0.15795604461849824
PWP Gap Cox [history_augmented],12.0,159,37,0.6470979175897209,0.3241128818090274,0.1829307398981438
Event-Specific RSF [markov_lite],2.0,213,15,0.9127946127946127,0.34928720676331393,0.05530301555491207
Event-Specific RSF [markov_lite],3.0,191,19,0.8754589963280294,0.42203264080351666,0.07489831137090389
Event-Specific RSF [markov_lite],6.0,182,31,0.8299508651997436,0.39984814704335203,0.11737812768676249
Event-Specific RSF [markov_lite],12.0,159,37,0.7864421798848029,0.4996018682822005,0.1490435261080153
Event-Specific RSF [history_augmented],2.0,213,15,0.8993265993265994,0.3572122889239015,0.05579738423804011
Event-Specific RSF [history_augmented],3.0,191,19,0.8604651162790699,0.3435548126386838,0.07554229580018804
Event-Specific RSF [history_augmented],6.0,182,31,0.8209784234138005,0.3844992447028346,0.11826761119096353
Event-Specific RSF [history_augmented],12.0,159,37,0.7747009304386354,0.4909283306162963,0.14884286371589842
