feature,coef,abs_coef,family,pretty_feature,odds_ratio,is_active,direction,family_order
Time_In_Normal,-0.7660415564763525,0.7660415564763525,State memory,Time spent in Normal,0.46484951172363753,True,Risk down,1
Ever_Hypo_Before,-0.3844800859755277,0.3844800859755277,State memory,Had Hypo before,0.6808045040157592,True,Risk down,1
ThyroidW,0.36744799820904306,0.36744799820904306,Baseline clinic,Thyroid weight,1.4440447036662205,True,Risk up,5
FT3_Current,0.3059281720443082,0.3059281720443082,Current physiology,Current FT3,1.3578847689579523,True,Risk up,0
Delta_TSH_k0,-0.23125525399457972,0.23125525399457972,Trajectory,logTSH change vs 0M,0.7935368867215711,True,Risk down,2
Window_12M->18M,-0.0719466115421658,0.0719466115421658,Follow-up window,Window 12M->18M,0.9305805767468827,True,Risk down,3
logTSH_Current,-0.07049014047270938,0.07049014047270938,Current physiology,Current logTSH,0.9319369279380777,True,Risk down,0
FT4_Current,-0.054254422977223014,0.054254422977223014,Current physiology,Current FT4,0.9471910886660833,True,Risk down,0
Window_18M->24M,-0.05289081988495003,0.05289081988495003,Follow-up window,Window 18M->24M,0.9484835623738638,True,Risk down,3
Window_6M->12M,0.048700788545209775,0.048700788545209775,Follow-up window,Window 6M->12M,1.049906159788143,True,Risk up,3
Height,-0.04344032533841944,0.04344032533841944,Baseline clinic,Height,0.9574896902593923,True,Risk down,5
Delta_FT4_1step,-0.027607161325627846,0.027607161325627846,Trajectory,FT4 change vs prior visit,0.9727704335986297,True,Risk down,2
Delta_FT4_k0,-0.015492321833870564,0.015492321833870564,Trajectory,FT4 change vs 0M,0.9846270668529039,True,Risk down,2
TPOAb,0.013119798949897545,0.013119798949897545,Baseline clinic,TPOAb,1.0132062411331562,True,Risk up,5
PrevState_1,-0.007845120289213551,0.007845120289213551,Previous state,Prev Normal,0.9921855723520301,True,Risk down,4
Uptake24h,0.004226244141006909,0.004226244141006909,Baseline clinic,24h uptake,1.004235187305003,True,Risk up,5
PrevState_2,0.0013376273883803514,0.0013376273883803514,Previous state,Prev Hypo,1.00133852241092,True,Risk up,4
Age,0.0,0.0,Baseline clinic,Age,1.0,False,Zeroed,5
BMI,0.0,0.0,Baseline clinic,BMI,1.0,False,Zeroed,5
Delta_TSH_1step,0.0,0.0,Trajectory,logTSH change vs prior visit,1.0,False,Zeroed,2
Dose,0.0,0.0,Baseline clinic,Dose,1.0,False,Zeroed,5
Ever_Hyper_Before,0.0,0.0,State memory,Had Hyper before,1.0,False,Zeroed,1
Exophthalmos,0.0,0.0,Baseline clinic,Exophthalmos,1.0,False,Zeroed,5
HalfLife,0.0,0.0,Baseline clinic,Effective half-life,1.0,False,Zeroed,5
MaxUptake,0.0,0.0,Baseline clinic,Max uptake,1.0,False,Zeroed,5
PrevState_0,0.0,0.0,Previous state,Prev Hyper,1.0,False,Zeroed,4
RAI3d,0.0,0.0,Baseline clinic,RAI 3d uptake,1.0,False,Zeroed,5
Sex,0.0,0.0,Baseline clinic,Sex,1.0,False,Zeroed,5
TGAb,0.0,0.0,Baseline clinic,TGAb,1.0,False,Zeroed,5
TRAb,0.0,0.0,Baseline clinic,TRAb,1.0,False,Zeroed,5
TreatCount,0.0,0.0,Baseline clinic,Prior treatment count,1.0,False,Zeroed,5
Weight,0.0,0.0,Baseline clinic,Weight,1.0,False,Zeroed,5
Window_1M->3M,0.0,0.0,Follow-up window,Window 1M->3M,1.0,False,Zeroed,3
Window_3M->6M,0.0,0.0,Follow-up window,Window 3M->6M,1.0,False,Zeroed,3
