Task,Domain,Domain_Label,Model,Metric_Key,Metric,Value,Threshold,N,Events
Rolling Landmark,Train_Fit,Train Fit,Logistic Reg.,prauc,PR-AUC,0.2966409174461515,0.14999999999999997,2096,169
Rolling Landmark,Train_Fit,Train Fit,Logistic Reg.,auc,AUC,0.8391404611515586,0.14999999999999997,2096,169
Rolling Landmark,Train_Fit,Train Fit,Logistic Reg.,recall,Sensitivity,0.6153846153846154,0.14999999999999997,2096,169
Rolling Landmark,Train_Fit,Train Fit,Logistic Reg.,specificity,Specificity,0.8386092371562014,0.14999999999999997,2096,169
Rolling Landmark,Train_Fit,Train Fit,Logistic Reg.,f1,F1,0.3561643835616438,0.14999999999999997,2096,169
Rolling Landmark,Validation_OOF,Validation OOF,Logistic Reg.,prauc,PR-AUC,0.2353598128766533,0.14999999999999997,2096,169
Rolling Landmark,Validation_OOF,Validation OOF,Logistic Reg.,auc,AUC,0.813678557281607,0.14999999999999997,2096,169
Rolling Landmark,Validation_OOF,Validation OOF,Logistic Reg.,recall,Sensitivity,0.5502958579881657,0.14999999999999997,2096,169
Rolling Landmark,Validation_OOF,Validation OOF,Logistic Reg.,specificity,Specificity,0.8391281785158277,0.14999999999999997,2096,169
Rolling Landmark,Validation_OOF,Validation OOF,Logistic Reg.,f1,F1,0.32517482517482516,0.14999999999999997,2096,169
Rolling Landmark,Test_Temporal,Temporal Test,Logistic Reg.,prauc,PR-AUC,0.333887622324112,0.14999999999999997,514,41
Rolling Landmark,Test_Temporal,Temporal Test,Logistic Reg.,auc,AUC,0.841386067137627,0.14999999999999997,514,41
Rolling Landmark,Test_Temporal,Temporal Test,Logistic Reg.,recall,Sensitivity,0.5853658536585366,0.14999999999999997,514,41
Rolling Landmark,Test_Temporal,Temporal Test,Logistic Reg.,specificity,Specificity,0.8393234672304439,0.14999999999999997,514,41
Rolling Landmark,Test_Temporal,Temporal Test,Logistic Reg.,f1,F1,0.3404255319148936,0.14999999999999997,514,41
Rolling Landmark,Train_Fit,Train Fit,Elastic LR,prauc,PR-AUC,0.3016197401813849,0.13999999999999999,2096,169
Rolling Landmark,Train_Fit,Train Fit,Elastic LR,auc,AUC,0.8417290266318249,0.13999999999999999,2096,169
Rolling Landmark,Train_Fit,Train Fit,Elastic LR,recall,Sensitivity,0.6390532544378699,0.13999999999999999,2096,169
Rolling Landmark,Train_Fit,Train Fit,Elastic LR,specificity,Specificity,0.8173326414115205,0.13999999999999999,2096,169
Rolling Landmark,Train_Fit,Train Fit,Elastic LR,f1,F1,0.34340222575516693,0.13999999999999999,2096,169
Rolling Landmark,Validation_OOF,Validation OOF,Elastic LR,prauc,PR-AUC,0.230450913104305,0.13999999999999999,2096,169
Rolling Landmark,Validation_OOF,Validation OOF,Elastic LR,auc,AUC,0.8092138191934607,0.13999999999999999,2096,169
Rolling Landmark,Validation_OOF,Validation OOF,Elastic LR,recall,Sensitivity,0.5739644970414202,0.13999999999999999,2096,169
Rolling Landmark,Validation_OOF,Validation OOF,Elastic LR,specificity,Specificity,0.8256357031655422,0.13999999999999999,2096,169
Rolling Landmark,Validation_OOF,Validation OOF,Elastic LR,f1,F1,0.3222591362126246,0.13999999999999999,2096,169
Rolling Landmark,Test_Temporal,Temporal Test,Elastic LR,prauc,PR-AUC,0.3228276679642773,0.13999999999999999,514,41
Rolling Landmark,Test_Temporal,Temporal Test,Elastic LR,auc,AUC,0.8381890372814933,0.13999999999999999,514,41
Rolling Landmark,Test_Temporal,Temporal Test,Elastic LR,recall,Sensitivity,0.6341463414634146,0.13999999999999999,514,41
Rolling Landmark,Test_Temporal,Temporal Test,Elastic LR,specificity,Specificity,0.8245243128964059,0.13999999999999999,514,41
Rolling Landmark,Test_Temporal,Temporal Test,Elastic LR,f1,F1,0.3466666666666667,0.13999999999999999,514,41
Rolling Landmark,Train_Fit,Train Fit,SVM,prauc,PR-AUC,0.34330816237319245,0.16999999999999996,2096,169
Rolling Landmark,Train_Fit,Train Fit,SVM,auc,AUC,0.8901778832719714,0.16999999999999996,2096,169
Rolling Landmark,Train_Fit,Train Fit,SVM,recall,Sensitivity,0.7692307692307693,0.16999999999999996,2096,169
Rolling Landmark,Train_Fit,Train Fit,SVM,specificity,Specificity,0.8526206538661131,0.16999999999999996,2096,169
Rolling Landmark,Train_Fit,Train Fit,SVM,f1,F1,0.44596912521440824,0.16999999999999996,2096,169
Rolling Landmark,Validation_OOF,Validation OOF,SVM,prauc,PR-AUC,0.23296533850953402,0.16999999999999996,2096,169
Rolling Landmark,Validation_OOF,Validation OOF,SVM,auc,AUC,0.8143387489521378,0.16999999999999996,2096,169
Rolling Landmark,Validation_OOF,Validation OOF,SVM,recall,Sensitivity,0.5502958579881657,0.16999999999999996,2096,169
Rolling Landmark,Validation_OOF,Validation OOF,SVM,specificity,Specificity,0.855215360664245,0.16999999999999996,2096,169
