feature,coefficient,abs_coefficient,selected
Ever_Hypo_Before,,,True
Time_In_Normal,,,True
Prev_State_2,,,True
ThyroidW,,,True
FT3_Current,,,True
FT4_Mean_ToDate,,,True
FT3_Baseline,,,True
FT4_Current,,,True
Start_Time,,,True
logTSH_STD_ToDate,,,True
Delta_TSH_k0,,,True
Height,,,True
FT3_Prev,,,True
logTSH_Mean_ToDate,,,True
Exophthalmos,,,True
Interval_Name_1M->3M,,,True
MaxUptake,,,True
Interval_Name_6M->12M,,,True
TGAb,,,True
Interval_Name_12M->18M,,,True
TPOAb,,,True
FT3_STD_ToDate,,,True
logTSH_Baseline,,,True
HalfLife,,,True
Age,,,True
Event_Order,,,True
Prior_Relapse_Count,,,True
Ever_Hyper_Before,,,True
Uptake24h,,,True
Delta_TSH_1step,,,True
logTSH_Current,,,True
RAI3d,,,True
Stop_Time,,,True
Dose,,,True
Sex,,,True
FT3_Mean_ToDate,,,True
