Task,Domain,Domain_Label,Model,Metric_Key,Metric,Value,Threshold,N,Events
Direct Anchor,Train_Fit,Train Fit,Logistic Reg.,prauc,PR-AUC,0.30226529891230547,0.14999999999999997,2096,169
Direct Anchor,Train_Fit,Train Fit,Logistic Reg.,auc,AUC,0.8416798960889017,0.14999999999999997,2096,169
Direct Anchor,Train_Fit,Train Fit,Logistic Reg.,recall,Sensitivity,0.6153846153846154,0.14999999999999997,2096,169
Direct Anchor,Train_Fit,Train Fit,Logistic Reg.,specificity,Specificity,0.8412039439543332,0.14999999999999997,2096,169
Direct Anchor,Train_Fit,Train Fit,Logistic Reg.,f1,F1,0.3592400690846287,0.14999999999999997,2096,169
Direct Anchor,Validation_OOF,Validation OOF,Logistic Reg.,prauc,PR-AUC,0.2310583784903382,0.14999999999999997,2096,169
Direct Anchor,Validation_OOF,Validation OOF,Logistic Reg.,auc,AUC,0.8130245069289419,0.14999999999999997,2096,169
Direct Anchor,Validation_OOF,Validation OOF,Logistic Reg.,recall,Sensitivity,0.5798816568047337,0.14999999999999997,2096,169
Direct Anchor,Validation_OOF,Validation OOF,Logistic Reg.,specificity,Specificity,0.843798650752465,0.14999999999999997,2096,169
Direct Anchor,Validation_OOF,Validation OOF,Logistic Reg.,f1,F1,0.34507042253521125,0.14999999999999997,2096,169
Direct Anchor,Test_Temporal,Temporal Test,Logistic Reg.,prauc,PR-AUC,0.33050692574763696,0.14999999999999997,514,41
Direct Anchor,Test_Temporal,Temporal Test,Logistic Reg.,auc,AUC,0.8415407621306656,0.14999999999999997,514,41
Direct Anchor,Test_Temporal,Temporal Test,Logistic Reg.,recall,Sensitivity,0.5609756097560976,0.14999999999999997,514,41
Direct Anchor,Test_Temporal,Temporal Test,Logistic Reg.,specificity,Specificity,0.8414376321353065,0.14999999999999997,514,41
Direct Anchor,Test_Temporal,Temporal Test,Logistic Reg.,f1,F1,0.33093525179856115,0.14999999999999997,514,41
Joint Two-Head,Train_Fit,Train Fit,c2_interval_slope_ranked,prauc,PR-AUC,0.4383110171346132,0.36,2096,169
Joint Two-Head,Train_Fit,Train Fit,c2_interval_slope_ranked,auc,AUC,0.9055526725480021,0.36,2096,169
Joint Two-Head,Train_Fit,Train Fit,c2_interval_slope_ranked,recall,Sensitivity,0.7928994082840237,0.36,2096,169
Joint Two-Head,Train_Fit,Train Fit,c2_interval_slope_ranked,specificity,Specificity,0.8292682926829268,0.36,2096,169
Joint Two-Head,Train_Fit,Train Fit,c2_interval_slope_ranked,f1,F1,0.4240506329113924,0.36,2096,169
Joint Two-Head,Validation_OOF,Validation OOF,c2_interval_slope_ranked,prauc,PR-AUC,0.2239461241436735,0.36,2096,169
Joint Two-Head,Validation_OOF,Validation OOF,c2_interval_slope_ranked,auc,AUC,0.8047859290125068,0.36,2096,169
Joint Two-Head,Validation_OOF,Validation OOF,c2_interval_slope_ranked,recall,Sensitivity,0.650887573964497,0.36,2096,169
Joint Two-Head,Validation_OOF,Validation OOF,c2_interval_slope_ranked,specificity,Specificity,0.8131811105345096,0.36,2096,169
Joint Two-Head,Validation_OOF,Validation OOF,c2_interval_slope_ranked,f1,F1,0.3442879499217527,0.36,2096,169
Joint Two-Head,Test_Temporal,Temporal Test,c2_interval_slope_ranked,prauc,PR-AUC,0.329514855542335,0.36,514,41
Joint Two-Head,Test_Temporal,Temporal Test,c2_interval_slope_ranked,auc,AUC,0.8507708967153096,0.36,514,41
Joint Two-Head,Test_Temporal,Temporal Test,c2_interval_slope_ranked,recall,Sensitivity,0.7317073170731707,0.36,514,41
Joint Two-Head,Test_Temporal,Temporal Test,c2_interval_slope_ranked,specificity,Specificity,0.8033826638477801,0.36,514,41
Joint Two-Head,Test_Temporal,Temporal Test,c2_interval_slope_ranked,f1,F1,0.36585365853658536,0.36,514,41
