Task,Domain,Domain_Label,Model,Metric_Key,Metric,Value,Threshold,N,Events
Direct Anchor,Train_Fit,Train Fit,Logistic Reg.,prauc,PR-AUC,0.30226529891230547,0.14999999999999997,2096,169
Direct Anchor,Train_Fit,Train Fit,Logistic Reg.,auc,AUC,0.8416798960889017,0.14999999999999997,2096,169
Direct Anchor,Train_Fit,Train Fit,Logistic Reg.,recall,Sensitivity,0.6153846153846154,0.14999999999999997,2096,169
Direct Anchor,Train_Fit,Train Fit,Logistic Reg.,specificity,Specificity,0.8412039439543332,0.14999999999999997,2096,169
Direct Anchor,Train_Fit,Train Fit,Logistic Reg.,f1,F1,0.3592400690846287,0.14999999999999997,2096,169
Direct Anchor,Validation_OOF,Validation OOF,Logistic Reg.,prauc,PR-AUC,0.2310583784903382,0.14999999999999997,2096,169
Direct Anchor,Validation_OOF,Validation OOF,Logistic Reg.,auc,AUC,0.8130245069289419,0.14999999999999997,2096,169
Direct Anchor,Validation_OOF,Validation OOF,Logistic Reg.,recall,Sensitivity,0.5798816568047337,0.14999999999999997,2096,169
Direct Anchor,Validation_OOF,Validation OOF,Logistic Reg.,specificity,Specificity,0.843798650752465,0.14999999999999997,2096,169
Direct Anchor,Validation_OOF,Validation OOF,Logistic Reg.,f1,F1,0.34507042253521125,0.14999999999999997,2096,169
Direct Anchor,Test_Temporal,Temporal Test,Logistic Reg.,prauc,PR-AUC,0.33050692574763696,0.14999999999999997,514,41
Direct Anchor,Test_Temporal,Temporal Test,Logistic Reg.,auc,AUC,0.8415407621306656,0.14999999999999997,514,41
Direct Anchor,Test_Temporal,Temporal Test,Logistic Reg.,recall,Sensitivity,0.5609756097560976,0.14999999999999997,514,41
Direct Anchor,Test_Temporal,Temporal Test,Logistic Reg.,specificity,Specificity,0.8414376321353065,0.14999999999999997,514,41
Direct Anchor,Test_Temporal,Temporal Test,Logistic Reg.,f1,F1,0.33093525179856115,0.14999999999999997,514,41
Joint Two-Head,Train_Fit,Train Fit,c2_interval_slope,prauc,PR-AUC,0.4029527469871128,0.49999999999999994,2096,169
Joint Two-Head,Train_Fit,Train Fit,c2_interval_slope,auc,AUC,0.8946763986083773,0.49999999999999994,2096,169
Joint Two-Head,Train_Fit,Train Fit,c2_interval_slope,recall,Sensitivity,0.6627218934911243,0.49999999999999994,2096,169
Joint Two-Head,Train_Fit,Train Fit,c2_interval_slope,specificity,Specificity,0.8775298391281785,0.49999999999999994,2096,169
Joint Two-Head,Train_Fit,Train Fit,c2_interval_slope,f1,F1,0.4332688588007737,0.49999999999999994,2096,169
Joint Two-Head,Validation_OOF,Validation OOF,c2_interval_slope,prauc,PR-AUC,0.22096216838297544,0.49999999999999994,2096,169
Joint Two-Head,Validation_OOF,Validation OOF,c2_interval_slope,auc,AUC,0.8029742402422136,0.49999999999999994,2096,169
Joint Two-Head,Validation_OOF,Validation OOF,c2_interval_slope,recall,Sensitivity,0.48520710059171596,0.49999999999999994,2096,169
Joint Two-Head,Validation_OOF,Validation OOF,c2_interval_slope,specificity,Specificity,0.8713025428126622,0.49999999999999994,2096,169
Joint Two-Head,Validation_OOF,Validation OOF,c2_interval_slope,f1,F1,0.3286573146292585,0.49999999999999994,2096,169
Joint Two-Head,Test_Temporal,Temporal Test,c2_interval_slope,prauc,PR-AUC,0.3215752851413565,0.49999999999999994,514,41
Joint Two-Head,Test_Temporal,Temporal Test,c2_interval_slope,auc,AUC,0.843087712061053,0.49999999999999994,514,41
Joint Two-Head,Test_Temporal,Temporal Test,c2_interval_slope,recall,Sensitivity,0.4878048780487805,0.49999999999999994,514,41
Joint Two-Head,Test_Temporal,Temporal Test,c2_interval_slope,specificity,Specificity,0.8604651162790697,0.49999999999999994,514,41
Joint Two-Head,Test_Temporal,Temporal Test,c2_interval_slope,f1,F1,0.31496062992125984,0.49999999999999994,514,41
