Variant,Family,AUC,PR_AUC,Brier,Recall,Specificity,Calibration_Intercept,Calibration_Slope,Threshold,Epochs,Aux_Target,Calibration_Mode,CV_PR_AUC,Best_Params,Round,StopRule_Hits
direct_anchor_Logistic_Reg.,direct_anchor,0.8415407621306656,0.33050692574763696,0.06445334818835405,0.5609756097560976,0.8414376321353065,-0.12023435104410532,1.0277517463793855,0.14999999999999997,,none,none,0.25368580480640657,"{'lr__solver': 'saga', 'lr__penalty': 'l1', 'lr__C': 0.1}",,
direct_anchor_Elastic_LR,direct_anchor,0.8413345021399475,0.32901464781474815,0.06476462487828312,0.5609756097560976,0.8393234672304439,-0.19080856340518637,0.9886355985822544,0.14999999999999997,,none,none,0.25054100923053674,"{'lr__l1_ratio': 0.7, 'lr__C': 0.1}",,
c2_interval_slope,c2,0.843087712061053,0.3215752851413565,0.10798518059495757,0.4878048780487805,0.8604651162790697,-1.6907586224021676,1.0673012873346452,0.49999999999999994,62.0,full,none,,,Round1,2.0
c2_early_late_intercept,c2,0.8412829371422679,0.31420555051216964,0.10113890755980422,0.6097560975609756,0.8118393234672304,-1.6208478387949,0.9814845376488646,0.38999999999999996,66.0,early_late,none,,,Round1,2.0
c1_rule_any,c1,0.8400969421956376,0.3097463283025404,0.09909884405108357,0.8292682926829268,0.7293868921775899,-1.524558206651474,0.7617971667937429,0.25999999999999995,72.0,any_rule,none,,,Round1,1.0
c2_interval_intercept_calibrated,c2,0.8240086629196102,0.2963567396570211,0.064882214730388,0.6585365853658537,0.8456659619450317,0.7243152813199265,1.390256224071375,0.14999999999999997,75.0,full,window_intercept,,,Round1,1.0
c2_interval_intercept,c2,0.837003042334863,0.27275075633570756,0.10189868196918189,0.7073170731707317,0.813953488372093,-1.6619779106277048,0.8423925584705665,0.36999999999999994,71.0,full,none,,,Round1,1.0
c2_early_late_intercept,c2,0.8406125921724333,0.295947239457615,0.10240224953547566,0.5609756097560976,0.854122621564482,-1.6408530469461207,0.9504560965562483,0.43999999999999995,57.0,early_late,none,,,Round2,2.0
c2_interval_intercept_reghigh,c2,0.8402000721909968,0.3070134249470368,0.10841609024075735,0.7073170731707317,0.8393234672304439,-1.7193274552964728,1.0745214977715412,0.43999999999999995,65.0,full,none,,,Round2,1.0
c2_interval_intercept,c2,0.8353013974114372,0.3037875877108865,0.10280486160031843,0.5365853658536586,0.8350951374207188,-1.6528543049782685,0.9218682104579812,0.41999999999999993,76.0,full,none,,,Round2,1.0
c2_interval_intercept_reglow,c2,0.8395812922188419,0.30317426963998834,0.09664898008564293,0.6585365853658537,0.8435517970401691,-1.5686517140101415,0.8660200250814207,0.41,47.0,full,none,,,Round2,1.0
c2_interval_intercept_calibrated,c2,0.8344763574485639,0.30159534377676955,0.06365924082358924,0.7317073170731707,0.8224101479915433,0.5440259623816095,1.3433582346557023,0.13999999999999999,65.0,full,window_intercept,,,Round2,1.0
