Tag,Interval_Name,N,Events,AUC,PR_AUC,Brier,Recall,Specificity,Calibration_Intercept,Calibration_Slope
Direct_Anchor,1M->3M,68,17,0.5155709342560555,0.2570337976018656,0.205366392583407,0.5882352941176471,0.37254901960784315,-1.2038400346134495,-0.07174796997703849
Direct_Anchor,3M->6M,71,10,0.639344262295082,0.44022189879086426,0.11178735802895463,0.6,0.5901639344262295,-0.7099413948762437,0.7119547578044143
Direct_Anchor,6M->12M,110,8,0.8700980392156863,0.460180002763958,0.05302584144198647,0.75,0.8725490196078431,0.2992656288353937,1.4276534760644901
Direct_Anchor,12M->18M,128,2,0.7460317460317459,0.043498168498168496,0.018067751758682832,0.0,0.9682539682539683,-2.0484456535472497,0.6510480428013726
Direct_Anchor,18M->24M,137,4,0.9605263157894737,0.48942307692307696,0.022494080798223477,0.25,0.9924812030075187,2.0494844017884373,1.7223862586567995
c1_rule_any,1M->3M,68,17,0.5686274509803921,0.2861007227129833,0.2631069471174554,1.0,0.13725490196078433,-1.1136739194166805,0.3499599809536551
c1_rule_any,3M->6M,71,10,0.7065573770491803,0.392578145811737,0.1995874652367088,0.9,0.4098360655737705,-1.669317921788775,0.6762266803540702
c1_rule_any,6M->12M,110,8,0.8590686274509804,0.4247305443916697,0.0976110398659419,0.875,0.7058823529411765,-1.7075552485782302,1.2028923199639794
c1_rule_any,12M->18M,128,2,0.6190476190476191,0.036630036630036625,0.03640902856065158,0.0,0.9047619047619048,-3.476795228993627,0.18522724765450252
c1_rule_any,18M->24M,137,4,0.9398496240601504,0.41870300751879697,0.025381411426617956,0.25,0.9548872180451128,-0.5824804855604536,1.0432774344702263
c2_interval_intercept,1M->3M,68,17,0.5628604382929642,0.2931714747926665,0.25795723460277914,0.8235294117647058,0.35294117647058826,-1.0887141060682985,0.21293469942073484
c2_interval_intercept,3M->6M,71,10,0.6918032786885246,0.3645815748704474,0.19912639569912652,0.7,0.5901639344262295,-1.7105075102747724,0.5194221034609109
c2_interval_intercept,6M->12M,110,8,0.8786764705882353,0.2978930995475113,0.10039373440266659,0.875,0.8137254901960784,-1.7732705332673655,1.0720402967552731
c2_interval_intercept,12M->18M,128,2,0.6150793650793651,0.045098039215686274,0.04143029166281555,0.0,0.9365079365079365,-3.3466495634824716,0.3939436632466375
c2_interval_intercept,18M->24M,137,4,0.8966165413533834,0.36944444444444446,0.03175524355765554,0.25,0.9774436090225563,-0.46276570588591637,1.7204102377629522
c2_interval_slope,1M->3M,68,17,0.532871972318339,0.2770220547349786,0.253522988792949,0.5294117647058824,0.5098039215686274,-1.0867752450354458,0.12806738410033586
c2_interval_slope,3M->6M,71,10,0.7016393442622951,0.3932898296307584,0.17638790443109129,0.5,0.7049180327868853,-1.5414005792238328,0.8257631358918568
c2_interval_slope,6M->12M,110,8,0.8529411764705883,0.47415849673202615,0.09239553965602505,0.75,0.8921568627450981,-1.603041802319068,1.4403463005977197
c2_interval_slope,12M->18M,128,2,0.6111111111111112,0.03851091142490372,0.038201837265546,0.0,0.9841269841269841,-3.3226500732809363,0.3994654510555653
c2_interval_slope,18M->24M,137,4,0.9323308270676691,0.2905462184873949,0.030651070133651575,0.25,0.9924812030075187,-0.34917528153350696,1.7631155212585075
c2_early_late_intercept,1M->3M,68,17,0.5893886966551327,0.31439847523003855,0.2629752011015687,0.7647058823529411,0.2549019607843137,-1.1334632695003521,0.3785182882084554
c2_early_late_intercept,3M->6M,71,10,0.6852459016393443,0.3904489476811458,0.20038654828428634,0.5,0.5573770491803278,-1.6898991134882029,0.6318655677039656
c2_early_late_intercept,6M->12M,110,8,0.8590686274509804,0.3787178701562263,0.0996661985512813,0.75,0.8333333333333334,-1.775544685592286,1.3661184401545983
c2_early_late_intercept,12M->18M,128,2,0.6944444444444444,0.05637254901960784,0.03631249498829775,0.0,0.9603174603174603,-2.9647354995589095,0.5789549290432243
c2_early_late_intercept,18M->24M,137,4,0.8966165413533834,0.40914918414918416,0.03112670571901684,0.25,0.9849624060150376,-0.9834138383543067,1.3526106336270065
c2_interval_intercept_calibrated,1M->3M,68,17,0.5767012687427913,0.3111889059824731,0.18767117313652476,1.0,0.11764705882352941,0.035923412357594234,0.8455254901071849
c2_interval_intercept_calibrated,3M->6M,71,10,0.6836065573770492,0.3817288595220333,0.11430933070338281,0.5,0.6721311475409836,0.503672238718839,1.3452869091162425
c2_interval_intercept_calibrated,6M->12M,110,8,0.8700980392156863,0.3980426966793953,0.0614003347367434,0.625,0.9215686274509803,5.138606456605463,3.6730964991615527
c2_interval_intercept_calibrated,12M->18M,128,2,0.6865079365079365,0.06925418569254185,0.015729371810325667,0.0,1.0,0.6455770022617333,1.462577809781172
c2_interval_intercept_calibrated,18M->24M,137,4,0.9041353383458647,0.36826156299840507,0.027039851864467924,0.0,1.0,8.985982965150152,3.3981568799375164
c2_interval_slope_ranked,1M->3M,68,17,0.5870818915801614,0.3024970710350127,0.24488077947035003,0.8823529411764706,0.2549019607843137,-1.078037548729925,0.4843076264462138
c2_interval_slope_ranked,3M->6M,71,10,0.7081967213114755,0.3758499979552611,0.17347948851109807,0.8,0.5245901639344263,-1.5274151329287617,0.8493970550708042
c2_interval_slope_ranked,6M->12M,110,8,0.8762254901960784,0.5371248587495807,0.09009959562418766,0.75,0.8431372549019608,-1.4636925405955243,1.6564648677866418
c2_interval_slope_ranked,12M->18M,128,2,0.5079365079365079,0.02654569892473118,0.04363944129427085,0.0,0.9444444444444444,-4.005043208928091,0.06971270797728603
c2_interval_slope_ranked,18M->24M,137,4,0.9379699248120301,0.4522156084656085,0.033101385796830876,0.25,0.9774436090225563,-0.25720325793003734,2.225825052508409
c2_interval_slope_ranked_calibrated,1M->3M,68,17,0.5282583621683968,0.2878157709997912,0.19449691404784364,0.7647058823529411,0.29411764705882354,-0.6683779948040688,0.2761051872203131
c2_interval_slope_ranked_calibrated,3M->6M,71,10,0.7081967213114754,0.31954547860120613,0.1120097191916993,0.6,0.5737704918032787,0.03949621652364296,1.0368817175049128
c2_interval_slope_ranked_calibrated,6M->12M,110,8,0.8627450980392157,0.5009490740740741,0.054780565033782196,0.75,0.8235294117647058,1.2621880416656932,1.9281903808360958
c2_interval_slope_ranked_calibrated,12M->18M,128,2,0.6865079365079365,0.03754385964912281,0.017047322980693162,0.0,0.9761904761904762,-1.5821125890440664,0.8468746131273488
c2_interval_slope_ranked_calibrated,18M->24M,137,4,0.9248120300751881,0.38596491228070173,0.024805515767012357,0.25,0.9849624060150376,3.159924816151925,2.3726363782034534
c2_early_late_slope,1M->3M,68,17,0.5386389850057671,0.2772239859160435,0.2479569783697593,0.7647058823529411,0.35294117647058826,-1.0783203290828134,0.24044769292428889
c2_early_late_slope,3M->6M,71,10,0.6983606557377049,0.37757454221158615,0.17542770861932117,0.7,0.5573770491803278,-1.478149503906224,0.9544723964847642
c2_early_late_slope,6M->12M,110,8,0.8713235294117646,0.4583165322580645,0.09452262969121804,0.75,0.8627450980392157,-1.4717844886313702,1.7806097358325832
