Group,Model,CV_PR_AUC,AUC,PR_AUC,C_Index,Brier,Recall,Specificity,F1,Calibration_Intercept,Calibration_Slope,Threshold,Best_Params,Physio_Group,Direct_Source,Physio_Source,Fusion_Template
direct_plus_physio_fusion,Elastic LR,0.2513680059115378,0.8488114268034858,0.3474193377478844,0.7646224742998936,0.06293787293550851,0.7073170731707317,0.8160676532769556,0.36942675159235666,0.7942380918584107,1.5107323446248482,0.14999999999999997,"{'lr__l1_ratio': 0.7, 'lr__C': 0.05}",predicted_only_state_only,Logistic Reg.,Logistic Reg.,both_windowed
direct_plus_physio_fusion,Elastic LR,0.2529075417739382,0.8464394369102253,0.34635371293036593,0.7594824530308402,0.06336801856274858,0.6829268292682927,0.7801268498942917,0.3236994219653179,0.017024161336668706,1.1884002853253453,0.14999999999999997,"{'lr__l1_ratio': 0.9, 'lr__C': 0.05}",predicted_only_compact,Logistic Reg.,Elastic LR,both_windowed
direct_plus_physio_fusion,Logistic Reg.,0.2538321739087949,0.8469035218893415,0.34453147886662033,0.7548741580999645,0.06339628277420019,0.6829268292682927,0.813953488372093,0.35668789808917195,0.898118398121196,1.5475412151479464,0.14999999999999997,"{'lr__solver': 'saga', 'lr__penalty': 'l1', 'lr__C': 0.05}",predicted_only_state_delta,Logistic Reg.,Logistic Reg.,both_windowed
direct_plus_physio_fusion,Elastic LR,0.24938255750437288,0.8479863868406126,0.3363816294566274,0.7570010634526764,0.06304599405913597,0.6829268292682927,0.8350951374207188,0.38095238095238093,0.7230344719594698,1.4742297254401464,0.15999999999999998,"{'lr__l1_ratio': 0.7, 'lr__C': 0.05}",predicted_only_state_only,Logistic Reg.,Logistic Reg.,gap_windowed
direct_plus_physio_fusion,Elastic LR,0.25261595062654313,0.8435517970401691,0.3356190702430929,0.7476072314781992,0.06385523404954233,0.6829268292682927,0.7758985200845666,0.32,-0.04787933835914236,1.1551901367441286,0.14999999999999997,"{'lr__l1_ratio': 0.9, 'lr__C': 0.05}",predicted_only_compact,Logistic Reg.,Elastic LR,gap_windowed
direct_plus_physio_fusion,Elastic LR,0.25044981625525775,0.8453565719589543,0.33266595133974003,0.7481389578163772,0.06331338412057487,0.6585365853658537,0.8372093023255814,0.3724137931034483,0.7799538476470255,1.493888631315865,0.15999999999999998,"{'lr__l1_ratio': 0.9, 'lr__C': 0.05}",predicted_only_state_delta,Logistic Reg.,Logistic Reg.,gap_windowed
direct_plus_physio_fusion,Elastic LR,0.25395340749714296,0.8431392770587325,0.3325642312801944,0.7463665366891173,0.06392343823944692,0.6829268292682927,0.7758985200845666,0.32,-0.052942846847368746,1.1521390229155828,0.14999999999999997,"{'lr__l1_ratio': 0.9, 'lr__C': 0.05}",predicted_only_compact,Logistic Reg.,Elastic LR,base
direct_plus_physio_fusion,Elastic LR,0.25374967194883075,0.8431392770587325,0.3325642312801944,0.7463665366891173,0.06392348341175508,0.6829268292682927,0.7758985200845666,0.32,-0.05297390459883131,1.1521271535944817,0.14999999999999997,"{'lr__l1_ratio': 0.9, 'lr__C': 0.05}",predicted_only_compact,Logistic Reg.,Elastic LR,physio_windowed
direct_plus_physio_fusion,Elastic LR,0.25481376308846243,0.8455112669519931,0.3322224255572223,0.7484934420418291,0.06353223678302912,0.6097560975609756,0.8435517970401691,0.35714285714285715,0.8013565469893326,1.4986386863676893,0.15999999999999998,"{'lr__l1_ratio': 0.9, 'lr__C': 0.05}",predicted_only_state_delta,Logistic Reg.,Logistic Reg.,physio_windowed
direct_plus_physio_fusion,Elastic LR,0.25481376308846243,0.8455112669519931,0.3322224255572223,0.7484934420418291,0.06353225896922872,0.6097560975609756,0.8435517970401691,0.35714285714285715,0.8013718706234695,1.4986491263964397,0.15999999999999998,"{'lr__l1_ratio': 0.9, 'lr__C': 0.05}",predicted_only_state_delta,Logistic Reg.,Logistic Reg.,base
direct_plus_physio_fusion,Logistic Reg.,0.25368580480640657,0.8415407621306656,0.33050692574763696,0.7240340304856434,0.06766480839998518,0.8292682926829268,0.6976744186046512,0.3119266055045872,4.591555442059864,3.1074015606102794,0.09,"{'lr__solver': 'saga', 'lr__penalty': 'l1', 'lr__C': 0.01}",predicted_only_state_only,Logistic Reg.,Logistic Reg.,physio_windowed
direct_plus_physio_fusion,Elastic LR,0.2531975643160172,0.8462847419171865,0.32419149637089634,0.7552286423254165,0.06331525972418903,0.6829268292682927,0.8224101479915433,0.3660130718954248,0.7540715697515022,1.4856036389073222,0.14999999999999997,"{'lr__l1_ratio': 0.7, 'lr__C': 0.05}",predicted_only_state_only,Logistic Reg.,Logistic Reg.,base
