Split,Model,Metric,Value
Train_OOF,Binary LR,AUC,0.7862729263072563
Train_OOF,Binary LR,Hyper_PR_AUC,0.21072949237457145
Train_OOF,Binary LR,LogLoss,0.5415278495282473
Train_OOF,Binary LR,Mean_MaxProb,0.81918153813208
Train_OOF,Binary LR,Mean_P_Hyper,0.31642428543849216
Train_OOF,LightGBM,AUC,0.7809484037179538
Train_OOF,LightGBM,Hyper_PR_AUC,0.19534386363973907
Train_OOF,LightGBM,LogLoss,0.3593035247766707
Train_OOF,LightGBM,Mean_MaxProb,0.961571193327456
Train_OOF,LightGBM,Mean_P_Hyper,0.05936061691497071
Train_OOF,EnsembleMean,AUC,0.7907284524186045
Train_OOF,EnsembleMean,Hyper_PR_AUC,0.2013465109350742
Train_OOF,EnsembleMean,LogLoss,0.3152329068044609
Train_OOF,EnsembleMean,Mean_MaxProb,0.8420589254749576
Train_OOF,EnsembleMean,Mean_P_Hyper,0.18789245117673142
Test,Binary LR,AUC,0.8257103078430361
Test,Binary LR,Hyper_PR_AUC,0.3231120497394959
Test,Binary LR,LogLoss,0.5928630077275518
Test,Binary LR,Mean_MaxProb,0.8138964968100334
Test,Binary LR,Mean_P_Hyper,0.3587651262820674
