Metric,Delta,CI_Low,CI_High,OneSided_P,Group,Baseline
prauc,0.019635574085174967,0.001625803243401669,0.040870506265890734,0.014992503748125937,current_binary_stage1_reference,direct
auc,0.00938482957768283,-0.0012770690447356514,0.020964498821641708,0.0399800099950025,current_binary_stage1_reference,direct
prauc,0.00034314084824482727,-0.037864538359742274,0.036462680070725284,0.4257871064467766,binary_interval_intercept,direct
auc,0.006651884700665245,-0.0032982005575401263,0.017172660712202446,0.09945027486256872,binary_interval_intercept,direct
prauc,-0.01929243323693014,-0.052960088661910536,0.01128300199956247,0.8460769615192404,binary_interval_intercept,current_binary_stage1_reference
auc,-0.0027329448770175846,-0.008124064383543494,0.0024388419071292304,0.847576211894053,binary_interval_intercept,current_binary_stage1_reference
prauc,-0.0003875771183241561,-0.045389719170356925,0.0554752767259683,0.4472763618190905,binary_interval_slope,direct
auc,-0.001856339916464722,-0.01703471766406437,0.01367329284243994,0.5892053973013494,binary_interval_slope,direct
prauc,-0.020023151203499123,-0.06702145401425544,0.039973379821723595,0.7251374312843578,binary_interval_slope,current_binary_stage1_reference
auc,-0.011241169494147552,-0.026115862210599364,0.0036554577833646873,0.9315342328835582,binary_interval_slope,current_binary_stage1_reference
prauc,0.0036106443534005828,-0.017900573891403086,0.0250897261946392,0.34182908545727136,binary_early_late,direct
auc,-0.0012891249419892947,-0.01362350157314747,0.009707055125297608,0.5652173913043478,binary_early_late,direct
prauc,-0.016024929731774384,-0.0347190137492162,-0.0010246044813311565,0.984007996001999,binary_early_late,current_binary_stage1_reference
auc,-0.010673954519672124,-0.02058823693413992,-0.001564702545315442,0.9880059970014993,binary_early_late,current_binary_stage1_reference
prauc,0.014449119330701032,-0.005471573920076484,0.03497925509584419,0.08745627186406797,binary_interval_intercept_calibrated,direct
auc,0.008766049605527959,-0.0012526147942815702,0.018791223781580334,0.037481259370314844,binary_interval_intercept_calibrated,direct
prauc,-0.005186454754473935,-0.017707347938153827,0.005137149619676767,0.8460769615192404,binary_interval_intercept_calibrated,current_binary_stage1_reference
auc,-0.0006187799721548704,-0.007782090675536665,0.006333035485446761,0.5537231384307846,binary_interval_intercept_calibrated,current_binary_stage1_reference
prauc,-0.0017940654528249,-0.042350599770029605,0.035373205528717006,0.4707646176911544,binary_rule_aux,direct
auc,0.006290929716908145,-0.003408616363920655,0.016478617395898815,0.095952023988006,binary_rule_aux,direct
prauc,-0.021429639537999867,-0.05731650319396674,0.009547050802278996,0.8705647176411794,binary_rule_aux,current_binary_stage1_reference
auc,-0.003093899860774685,-0.008389973294307915,0.0020737523648820277,0.8785607196401799,binary_rule_aux,current_binary_stage1_reference
prauc,-0.0007256038661860864,-0.02201374146953388,0.020224627503223076,0.45327336331834084,binary_early_late_calibrated,direct
auc,0.0010312999535915246,-0.011923521158833198,0.013196715516596876,0.4172913543228386,binary_early_late_calibrated,direct
prauc,-0.020361177951361054,-0.04365090968074802,6.541325798175226e-05,0.974512743628186,binary_early_late_calibrated,current_binary_stage1_reference
auc,-0.008353529624091305,-0.017377005720785255,0.000731360942225166,0.9635182408795602,binary_early_late_calibrated,current_binary_stage1_reference
