Split,Model,Metric,Value
Train_OOF,binary_interval_intercept,AUC,0.7862729263072563
Train_OOF,binary_interval_intercept,Hyper_PR_AUC,0.21072949237457145
Train_OOF,binary_interval_intercept,LogLoss,0.5415278495282473
Train_OOF,binary_interval_intercept,Mean_MaxProb,0.81918153813208
Train_OOF,binary_interval_intercept,Mean_P_Hyper,0.31642428543849216
Test,binary_interval_intercept,AUC,0.8257103078430361
Test,binary_interval_intercept,Hyper_PR_AUC,0.3231120497394959
Test,binary_interval_intercept,LogLoss,0.5928630077275518
Test,binary_interval_intercept,Mean_MaxProb,0.8138964968100334
Test,binary_interval_intercept,Mean_P_Hyper,0.3587651262820674
Train_OOF,binary_interval_slope,AUC,0.7576574557134216
Train_OOF,binary_interval_slope,Hyper_PR_AUC,0.18312783031877758
Train_OOF,binary_interval_slope,LogLoss,0.257376007424702
Train_OOF,binary_interval_slope,Mean_MaxProb,0.9175995783416653
Train_OOF,binary_interval_slope,Mean_P_Hyper,0.08397703681584963
Test,binary_interval_slope,AUC,0.834476357448564
Test,binary_interval_slope,Hyper_PR_AUC,0.3235347038018521
Test,binary_interval_slope,LogLoss,0.22425080245902762
Test,binary_interval_slope,Mean_MaxProb,0.9125566728764379
Test,binary_interval_slope,Mean_P_Hyper,0.08744332712356212
Train_OOF,binary_interval_intercept_calibrated,AUC,0.7600433577041297
Train_OOF,binary_interval_intercept_calibrated,Hyper_PR_AUC,0.20423160514773694
Train_OOF,binary_interval_intercept_calibrated,LogLoss,0.2520499688548463
Train_OOF,binary_interval_intercept_calibrated,Mean_MaxProb,0.9184547300654297
Train_OOF,binary_interval_intercept_calibrated,Mean_P_Hyper,0.08304288273015843
Test,binary_interval_intercept_calibrated,AUC,0.83251688753674
Test,binary_interval_intercept_calibrated,Hyper_PR_AUC,0.3200943389041628
Test,binary_interval_intercept_calibrated,LogLoss,0.22363963620892258
Test,binary_interval_intercept_calibrated,Mean_MaxProb,0.9118042019999111
Test,binary_interval_intercept_calibrated,Mean_P_Hyper,0.08884894443057807
Train_OOF,binary_early_late,AUC,0.787280102437182
Train_OOF,binary_early_late,Hyper_PR_AUC,0.2024717700673074
Train_OOF,binary_early_late,LogLoss,0.49333358952187517
Train_OOF,binary_early_late,Mean_MaxProb,0.835971474266375
Train_OOF,binary_early_late,Mean_P_Hyper,0.25888365540737723
Test,binary_early_late,AUC,0.7976589491053473
Test,binary_early_late,Hyper_PR_AUC,0.23129691265416702
Test,binary_early_late,LogLoss,0.5517393394073665
Test,binary_early_late,Mean_MaxProb,0.830840955707852
Test,binary_early_late,Mean_P_Hyper,0.3077803998573182
Train_OOF,binary_rule_aux,AUC,0.7935657412724197
Train_OOF,binary_rule_aux,Hyper_PR_AUC,0.21222400662910768
Train_OOF,binary_rule_aux,LogLoss,0.5458592586512417
Train_OOF,binary_rule_aux,Mean_MaxProb,0.7920046572291554
Train_OOF,binary_rule_aux,Mean_P_Hyper,0.34394433366594374
Test,binary_rule_aux,AUC,0.8267931727943072
Test,binary_rule_aux,Hyper_PR_AUC,0.31285772835776926
Test,binary_rule_aux,LogLoss,0.6031708973248641
Test,binary_rule_aux,Mean_MaxProb,0.7815432952232954
Test,binary_rule_aux,Mean_P_Hyper,0.3881899792987819
Train_OOF,binary_full_5window,AUC,0.7730506689430485
Train_OOF,binary_full_5window,Hyper_PR_AUC,0.18315048918275315
Train_OOF,binary_full_5window,LogLoss,0.4657194749549817
Train_OOF,binary_full_5window,Mean_MaxProb,0.8805864782352792
Train_OOF,binary_full_5window,Mean_P_Hyper,0.20623865131223018
Test,binary_full_5window,AUC,0.7708967153096479
Test,binary_full_5window,Hyper_PR_AUC,0.23520392848426847
Test,binary_full_5window,LogLoss,0.54991725584998
Test,binary_full_5window,Mean_MaxProb,0.8686643096821716
Test,binary_full_5window,Mean_P_Hyper,0.24942155981308467
Train_OOF,binary_early_late_calibrated,AUC,0.7872432545299896
