feature,coefficient,abs_coefficient,selected
Direct_Logit,,,True
Physio_Logit,,,True
Direct_x_Physio,,,True
Interval_Name_12M->18M,,,True
Interval_Name_18M->24M,,,True
Interval_Name_1M->3M,,,True
Interval_Name_3M->6M,,,True
Interval_Name_6M->12M,,,True
Interval_Name_12M->18M_x_Physio_Logit,,,True
Interval_Name_18M->24M_x_Physio_Logit,,,True
Interval_Name_1M->3M_x_Physio_Logit,,,True
Interval_Name_3M->6M_x_Physio_Logit,,,True
Interval_Name_6M->12M_x_Physio_Logit,,,True
Interval_Name_12M->18M_x_Direct_Logit,,,True
Interval_Name_18M->24M_x_Direct_Logit,,,True
Interval_Name_1M->3M_x_Direct_Logit,,,True
Interval_Name_3M->6M_x_Direct_Logit,,,True
Interval_Name_6M->12M_x_Direct_Logit,,,True
