feature,coefficient,abs_coefficient,selected
Time_In_Normal,-0.9108759505453614,0.9108759505453614,True
Ever_Hypo_Before,-0.7615179880675595,0.7615179880675595,True
ThyroidW,0.48647720749497214,0.48647720749497214,True
FT3_Current,0.33483763454653914,0.33483763454653914,True
Prev_State_2,0.29730829488479193,0.29730829488479193,True
Delta_TSH_k0,-0.2614126962717638,0.2614126962717638,True
Height,-0.09138221035141954,0.09138221035141954,True
Interval_Name_12M->18M,-0.08245749316037126,0.08245749316037126,True
FT4_Current,-0.07153245358986667,0.07153245358986667,True
Exophthalmos,0.05804798421730412,0.05804798421730412,True
Interval_Name_6M->12M,0.05695336526551837,0.05695336526551837,True
Interval_Name_18M->24M,-0.048430040618074086,0.048430040618074086,True
Delta_FT4_1step,-0.03510270260379664,0.03510270260379664,True
TGAb,-0.027932434886834185,0.027932434886834185,True
Interval_Name_1M->3M,0.02196677723937999,0.02196677723937999,True
MaxUptake,0.021639342999125816,0.021639342999125816,True
TPOAb,0.010893516530787623,0.010893516530787623,True
Ever_Hyper_Before,0.002622094043118224,0.002622094043118224,True
Delta_FT4_k0,-0.0009833649177806636,0.0009833649177806636,True
Sex,0.0,0.0,False
Age,0.0,0.0,False
Weight,0.0,0.0,False
BMI,0.0,0.0,False
RAI3d,0.0,0.0,False
TreatCount,0.0,0.0,False
TRAb,0.0,0.0,False
Uptake24h,0.0,0.0,False
HalfLife,0.0,0.0,False
Dose,0.0,0.0,False
logTSH_Current,0.0,0.0,False
Delta_TSH_1step,0.0,0.0,False
Interval_Name_3M->6M,0.0,0.0,False
Prev_State_0,0.0,0.0,False
Prev_State_1,0.0,0.0,False
