feature,coefficient,abs_coefficient,selected
Time_In_Normal,,,True
ThyroidW,,,True
FT3_Current,,,True
Delta_TSH_k0,,,True
Start_Time,,,True
Ever_Hypo_Before,,,True
logTSH_Mean_ToDate,,,True
FT4_Mean_ToDate,,,True
FT4_Current,,,True
Interval_Name_6M->12M,,,True
FT3_Baseline,,,True
logTSH_STD_ToDate,,,True
Height,,,True
FT3_Prev,,,True
logTSH_Baseline,,,True
Uptake24h,,,True
P_next_hyper,,,True
P_next_hypo,,,True
NextState_Entropy,,,True
NextState_MaxProb,,,True
Pred_Delta_FT4,,,True
Pred_Delta_logTSH,,,True
