feature,coefficient,abs_coefficient,selected
NextState_Entropy,0.721307048444199,0.721307048444199,True
Pred_logTSH_Margin_To_Hyper,0.31830020242758494,0.31830020242758494,True
P_next_normal,-0.2839070720488146,0.2839070720488146,True
Pred_Delta_FT3,0.13823070876412513,0.13823070876412513,True
P_next_hyper,0.11956214965788671,0.11956214965788671,True
Pred_Delta_logTSH,0.04120533322474351,0.04120533322474351,True
Pred_FT4_Margin_To_Hyper,0.024599577536610795,0.024599577536610795,True
Pred_Std_logTSH,0.014760542518070532,0.014760542518070532,True
P_next_hypo,0.0,0.0,False
NextState_MaxProb,0.0,0.0,False
Pred_Delta_FT4,0.0,0.0,False
Pred_Std_FT3,0.0,0.0,False
Pred_Std_FT4,0.0,0.0,False
