feature,coefficient,abs_coefficient,selected
Time_In_Normal,-0.8760667818125567,0.8760667818125567,True
Ever_Hypo_Before,-0.7550363447568605,0.7550363447568605,True
ThyroidW,0.38700566079409965,0.38700566079409965,True
Prev_State_2,0.3058685276953062,0.3058685276953062,True
FT3_Current,0.27464954815700415,0.27464954815700415,True
Delta_TSH_k0,-0.23595990410793366,0.23595990410793366,True
Pred_logTSH_Next,-0.18548119883057196,0.18548119883057196,True
FT4_Current,-0.10067760490798916,0.10067760490798916,True
Delta_FT4_1step,-0.08873303368674183,0.08873303368674183,True
Interval_Name_12M->18M,-0.07806416538267862,0.07806416538267862,True
Height,-0.07109750030693797,0.07109750030693797,True
Exophthalmos,0.06124310158901233,0.06124310158901233,True
Interval_Name_18M->24M,-0.054998157297612364,0.054998157297612364,True
MaxUptake,0.031069350079689216,0.031069350079689216,True
Interval_Name_6M->12M,0.030383112743357695,0.030383112743357695,True
Pred_FT3_Next,0.02682885242885794,0.02682885242885794,True
TGAb,-0.021231654647165622,0.021231654647165622,True
Interval_Name_1M->3M,0.011253798357093467,0.011253798357093467,True
TPOAb,0.009065308700415995,0.009065308700415995,True
Sex,0.0,0.0,False
Age,0.0,0.0,False
Weight,0.0,0.0,False
BMI,0.0,0.0,False
RAI3d,0.0,0.0,False
TreatCount,0.0,0.0,False
TRAb,0.0,0.0,False
Uptake24h,0.0,0.0,False
HalfLife,0.0,0.0,False
Dose,0.0,0.0,False
logTSH_Current,0.0,0.0,False
Ever_Hyper_Before,0.0,0.0,False
Delta_FT4_k0,0.0,0.0,False
Delta_TSH_1step,0.0,0.0,False
Pred_FT4_Next,0.0,0.0,False
Interval_Name_3M->6M,0.0,0.0,False
Prev_State_0,0.0,0.0,False
Prev_State_1,0.0,0.0,False
