feature,coef,abs_coef,family,pretty_feature,odds_ratio,is_active,direction,family_order
Direct_x_Physio,-1.044813638071279,1.044813638071279,Other,Direct x Physio,0.35175736745148456,True,Risk down,6
Interval_Name_1M->3M_x_Direct_Logit,-0.08433971370570018,0.08433971370570018,Other,Interval Name 1M->3M x Direct Logit,0.9191189657436396,True,Risk down,6
Direct_Logit,0.0,0.0,Other,Direct Logit,1.0,False,Zeroed,6
Interval_Name_12M->18M,0.0,0.0,Other,Interval Name 12M->18M,1.0,False,Zeroed,6
Interval_Name_12M->18M_x_Direct_Logit,0.0,0.0,Other,Interval Name 12M->18M x Direct Logit,1.0,False,Zeroed,6
Interval_Name_12M->18M_x_Physio_Logit,0.0,0.0,Other,Interval Name 12M->18M x Physio Logit,1.0,False,Zeroed,6
Interval_Name_18M->24M,0.0,0.0,Other,Interval Name 18M->24M,1.0,False,Zeroed,6
Interval_Name_18M->24M_x_Direct_Logit,0.0,0.0,Other,Interval Name 18M->24M x Direct Logit,1.0,False,Zeroed,6
Interval_Name_18M->24M_x_Physio_Logit,0.0,0.0,Other,Interval Name 18M->24M x Physio Logit,1.0,False,Zeroed,6
Interval_Name_1M->3M,0.0,0.0,Other,Interval Name 1M->3M,1.0,False,Zeroed,6
Interval_Name_1M->3M_x_Physio_Logit,0.0,0.0,Other,Interval Name 1M->3M x Physio Logit,1.0,False,Zeroed,6
Interval_Name_3M->6M,0.0,0.0,Other,Interval Name 3M->6M,1.0,False,Zeroed,6
Interval_Name_3M->6M_x_Direct_Logit,0.0,0.0,Other,Interval Name 3M->6M x Direct Logit,1.0,False,Zeroed,6
Interval_Name_3M->6M_x_Physio_Logit,0.0,0.0,Other,Interval Name 3M->6M x Physio Logit,1.0,False,Zeroed,6
Interval_Name_6M->12M,0.0,0.0,Other,Interval Name 6M->12M,1.0,False,Zeroed,6
Interval_Name_6M->12M_x_Direct_Logit,0.0,0.0,Other,Interval Name 6M->12M x Direct Logit,1.0,False,Zeroed,6
Interval_Name_6M->12M_x_Physio_Logit,0.0,0.0,Other,Interval Name 6M->12M x Physio Logit,1.0,False,Zeroed,6
Physio_Logit,0.0,0.0,Other,Physio Logit,1.0,False,Zeroed,6
