feature,coef,abs_coef,family,pretty_feature,odds_ratio,is_active,direction,family_order
Ever_Hypo_Before,-1.0761023685704414,1.0761023685704414,State memory,Had Hypo before,0.3409217266815332,True,Risk down,1
Time_In_Normal,-0.9409219261740146,0.9409219261740146,State memory,Time spent in Normal,0.39026787128845025,True,Risk down,1
ThyroidW,0.6078058190201501,0.6078058190201501,Baseline clinic,Thyroid weight,1.8363975862874133,True,Risk up,5
Prev_State_2,0.5816054206025135,0.5816054206025135,Other,Prev State 2,1.788908076521556,True,Risk up,6
FT3_Current,0.3750207491100648,0.3750207491100648,Current physiology,Current FT3,1.4550216047084141,True,Risk up,0
Delta_TSH_k0,-0.287533178583447,0.287533178583447,Trajectory,logTSH change vs 0M,0.750111678715182,True,Risk down,2
Prev_State_0,-0.17425081842055823,0.17425081842055823,Other,Prev State 0,0.8400861621470396,True,Risk down,6
logTSH_Current,-0.17348908082235892,0.17348908082235892,Current physiology,Current logTSH,0.8407263311519195,True,Risk down,0
FT4_Current,-0.16401490176837089,0.16401490176837089,Current physiology,Current FT4,0.8487293742174266,True,Risk down,0
RAI3d,-0.13410330477467122,0.13410330477467122,Baseline clinic,RAI 3d uptake,0.8744997199403783,True,Risk down,5
Interval_Name_18M->24M,-0.11807758573320756,0.11807758573320756,Other,Interval Name 18M->24M,0.8886271051544808,True,Risk down,6
Ever_Hyper_Before,0.11644450492332124,0.11644450492332124,State memory,Had Hyper before,1.1234951602870877,True,Risk up,1
Interval_Name_12M->18M,-0.10538057259029798,0.10538057259029798,Other,Interval Name 12M->18M,0.8999819489418005,True,Risk down,6
TRAb,-0.10036221049182306,0.10036221049182306,Baseline clinic,TRAb,0.9045097357783113,True,Risk down,5
Height,-0.09699475050779095,0.09699475050779095,Baseline clinic,Height,0.907560770353961,True,Risk down,5
Delta_TSH_1step,0.08634073951519934,0.08634073951519934,Trajectory,logTSH change vs prior visit,1.0901777316574022,True,Risk up,2
TPOAb,0.08435650525017777,0.08435650525017777,Baseline clinic,TPOAb,1.0880167083445655,True,Risk up,5
Delta_FT4_k0,-0.07749666136048998,0.07749666136048998,Trajectory,FT4 change vs 0M,0.9254301140690218,True,Risk down,2
Interval_Name_6M->12M,0.06245070051110012,0.06245070051110012,Other,Interval Name 6M->12M,1.0644419811786714,True,Risk up,6
Interval_Name_1M->3M,0.06014236339118362,0.06014236339118362,Other,Interval Name 1M->3M,1.0619877239578177,True,Risk up,6
TGAb,-0.05757806916542221,0.05757806916542221,Baseline clinic,TGAb,0.9440481864554225,True,Risk down,5
Dose,-0.05585130993865002,0.05585130993865002,Baseline clinic,Dose,0.9456797386153755,True,Risk down,5
Uptake24h,0.04795976376704413,0.04795976376704413,Baseline clinic,24h uptake,1.0491284414988407,True,Risk up,5
Weight,-0.046152507299862526,0.046152507299862526,Baseline clinic,Weight,0.9548963224256515,True,Risk down,5
Sex,0.04275437294064742,0.04275437294064742,Baseline clinic,Sex,1.0436815069445464,True,Risk up,5
TreatCount,0.03874694299236458,0.03874694299236458,Baseline clinic,Prior treatment count,1.0395073957324623,True,Risk up,5
Age,0.03577265402307253,0.03577265402307253,Baseline clinic,Age,1.0364201937431328,True,Risk up,5
Delta_FT4_1step,-0.03229597432790081,0.03229597432790081,Trajectory,FT4 change vs prior visit,0.9682199714112913,True,Risk down,2
MaxUptake,0.025924231367252297,0.025924231367252297,Baseline clinic,Max uptake,1.026263186969022,True,Risk up,5
Exophthalmos,0.022325297069363644,0.022325297069363644,Baseline clinic,Exophthalmos,1.0225763714695568,True,Risk up,5
HalfLife,-0.011443450187751742,0.011443450187751742,Baseline clinic,Effective half-life,0.9886217770430716,True,Risk down,5
BMI,0.0,0.0,Baseline clinic,BMI,1.0,False,Zeroed,5
Interval_Name_3M->6M,0.0,0.0,Other,Interval Name 3M->6M,1.0,False,Zeroed,6
Prev_State_1,0.0,0.0,Other,Prev State 1,1.0,False,Zeroed,6
