feature,coef,abs_coef,family,pretty_feature,odds_ratio,is_active,direction,family_order
Time_In_Normal,-0.5638012927659508,0.5638012927659508,State memory,Time spent in Normal,0.5690418526782848,True,Risk down,1
ThyroidW,0.3717946951707365,0.3717946951707365,Baseline clinic,Thyroid weight,1.4503351899066612,True,Risk up,5
FT3_Current,0.3025229801265166,0.3025229801265166,Current physiology,Current FT3,1.3532687743514993,True,Risk up,0
Delta_TSH_k0,-0.25621554969095833,0.25621554969095833,Trajectory,logTSH change vs 0M,0.7739751207127893,True,Risk down,2
Start_Time,-0.23705978225046037,0.23705978225046037,Other,Start Time,0.7889441217526851,True,Risk down,6
Ever_Hypo_Before,-0.1622090379623224,0.1622090379623224,State memory,Had Hypo before,0.8502634486232755,True,Risk down,1
logTSH_Mean_ToDate,-0.15580813142536856,0.15580813142536856,Other,logTSH Mean ToDate,0.8557233610424805,True,Risk down,6
FT4_Mean_ToDate,0.1376075188465592,0.1376075188465592,Other,FT4 Mean ToDate,1.1475250799124315,True,Risk up,6
FT4_Current,-0.08646850680637475,0.08646850680637475,Current physiology,Current FT4,0.9171644327669461,True,Risk down,0
Interval_Name_6M->12M,0.05326956195696364,0.05326956195696364,Other,Interval Name 6M->12M,1.0547139175507698,True,Risk up,6
FT3_Baseline,-0.04043951214847964,0.04043951214847964,Other,FT3 Baseline,0.9603672533063851,True,Risk down,6
logTSH_STD_ToDate,-0.03911911464121469,0.03911911464121469,Other,logTSH STD ToDate,0.9616361573782406,True,Risk down,6
Height,-0.029882261109056018,0.029882261109056018,Baseline clinic,Height,0.9705597994559884,True,Risk down,5
FT3_Prev,-0.007653575907441776,0.007653575907441776,Other,FT3 Prev,0.9923756381265236,True,Risk down,6
logTSH_Baseline,0.006613482640329298,0.006613482640329298,Other,logTSH Baseline,1.0066354000067135,True,Risk up,6
Uptake24h,0.006304426651971557,0.006304426651971557,Baseline clinic,24h uptake,1.0063243413779903,True,Risk up,5
Age,0.0,0.0,Baseline clinic,Age,1.0,False,Zeroed,5
Delta_TSH_1step,0.0,0.0,Trajectory,logTSH change vs prior visit,1.0,False,Zeroed,2
Dose,0.0,0.0,Baseline clinic,Dose,1.0,False,Zeroed,5
Event_Order,0.0,0.0,Other,Event Order,1.0,False,Zeroed,6
Ever_Hyper_Before,0.0,0.0,State memory,Had Hyper before,1.0,False,Zeroed,1
Exophthalmos,0.0,0.0,Baseline clinic,Exophthalmos,1.0,False,Zeroed,5
FT3_Mean_ToDate,0.0,0.0,Other,FT3 Mean ToDate,1.0,False,Zeroed,6
FT3_STD_ToDate,0.0,0.0,Other,FT3 STD ToDate,1.0,False,Zeroed,6
HalfLife,0.0,0.0,Baseline clinic,Effective half-life,1.0,False,Zeroed,5
Interval_Name_12M->18M,0.0,0.0,Other,Interval Name 12M->18M,1.0,False,Zeroed,6
Interval_Name_1M->3M,0.0,0.0,Other,Interval Name 1M->3M,1.0,False,Zeroed,6
MaxUptake,0.0,0.0,Baseline clinic,Max uptake,1.0,False,Zeroed,5
Prev_State_2,0.0,0.0,Other,Prev State 2,1.0,False,Zeroed,6
Prior_Relapse_Count,0.0,0.0,State memory,Prior relapse count,1.0,False,Zeroed,1
RAI3d,0.0,0.0,Baseline clinic,RAI 3d uptake,1.0,False,Zeroed,5
Sex,0.0,0.0,Baseline clinic,Sex,1.0,False,Zeroed,5
Stop_Time,0.0,0.0,Other,Stop Time,1.0,False,Zeroed,6
TGAb,0.0,0.0,Baseline clinic,TGAb,1.0,False,Zeroed,5
TPOAb,0.0,0.0,Baseline clinic,TPOAb,1.0,False,Zeroed,5
logTSH_Current,0.0,0.0,Current physiology,Current logTSH,1.0,False,Zeroed,0
