feature,coef,abs_coef,family,pretty_feature,odds_ratio,is_active,direction,family_order
Ever_Hypo_Before,-1.1127255000772038,1.1127255000772038,State memory,Had Hypo before,0.32866197102981737,True,Risk down,1
Time_In_Normal,-0.7289623312845173,0.7289623312845173,State memory,Time spent in Normal,0.4824093115119788,True,Risk down,1
Prev_State_2,0.61951010338073,0.61951010338073,Other,Prev State 2,1.8580175823169072,True,Risk up,6
FT3_Current,0.3529365574029246,0.3529365574029246,Current physiology,Current FT3,1.4232408464737314,True,Risk up,0
ThyroidW,0.3419612669508306,0.3419612669508306,Baseline clinic,Thyroid weight,1.4077057717212622,True,Risk up,5
Delta_TSH_k0,-0.3028368878512085,0.3028368878512085,Trajectory,logTSH change vs 0M,0.7387195806821474,True,Risk down,2
Pred_logTSH_Next,-0.2464085905695874,0.2464085905695874,Other,Pred logTSH Next,0.7816028041388263,True,Risk down,6
FT4_Current,-0.21880363467428018,0.21880363467428018,Current physiology,Current FT4,0.8034794781732615,True,Risk down,0
Interval_Name_18M->24M,-0.11946418096315961,0.11946418096315961,Other,Interval Name 18M->24M,0.8873957929123897,True,Risk down,6
Interval_Name_12M->18M,-0.1061054649835941,0.1061054649835941,Other,Interval Name 12M->18M,0.8993297952720832,True,Risk down,6
Delta_FT4_1step,-0.09470778029887715,0.09470778029887715,Trajectory,FT4 change vs prior visit,0.9096387099858808,True,Risk down,2
TPOAb,0.08308373321346273,0.08308373321346273,Baseline clinic,TPOAb,1.0866327919945444,True,Risk up,5
Height,-0.08244198621282588,0.08244198621282588,Baseline clinic,Height,0.920864859165159,True,Risk down,5
TGAb,-0.06787482973166939,0.06787482973166939,Baseline clinic,TGAb,0.9343774225304952,True,Risk down,5
MaxUptake,0.053271769108217334,0.053271769108217334,Baseline clinic,Max uptake,1.0547162454664842,True,Risk up,5
Interval_Name_1M->3M,0.05128116473184556,0.05128116473184556,Other,Interval Name 1M->3M,1.0526188109661674,True,Risk up,6
Pred_FT3_Next,-0.03989059184693396,0.03989059184693396,Other,Pred FT3 Next,0.96089456310095,True,Risk down,6
Interval_Name_6M->12M,0.03254823939607777,0.03254823939607777,Other,Interval Name 6M->12M,1.0330837272770803,True,Risk up,6
Exophthalmos,0.021214097595576402,0.021214097595576402,Baseline clinic,Exophthalmos,1.0214407162302803,True,Risk up,5
