Branch,Mode,Best_Model,AUC,PR_AUC,C_Index,Brier,Recall,Specificity,Calibration_Intercept,Calibration_Slope,Threshold
Baseline,direct_logistic_full,Logistic Reg.,0.8415407621306656,0.33050692574763696,0.7240340304856434,0.06445334818835405,0.5609756097560976,0.8414376321353065,-0.12023435104410583,1.0277517463793857,0.14999999999999997
BranchA,direct_compact,Logistic Reg.,0.8259165678337544,0.2666986652352116,0.738567883729174,0.0646518404559126,0.7317073170731707,0.7906976744186046,0.49417542390631,1.2807224020846746,0.11999999999999998
BranchA,predicted_only_compact,Logistic Reg.,0.8343732274532047,0.26876811596402955,0.7454803261254874,0.06895931131485214,0.8048780487804879,0.758985200845666,6.413608673243834,3.9333081021118783,0.09999999999999999
BranchA,predicted_plus_current_compact,Logistic Reg.,0.8378280822977363,0.30789111826086096,0.7383906416164481,0.06389836471604501,0.8048780487804879,0.7293868921775899,0.289053800735318,1.2230225845045328,0.09999999999999999
BranchB,direct_branch,Logistic Reg.,0.8415407621306656,0.33050692574763696,0.7240340304856434,0.06445334818835405,0.5609756097560976,0.8414376321353065,-0.12023435104410583,1.0277517463793857,0.14999999999999997
BranchB,physio_branch,Logistic Reg.,0.8343732274532047,0.26876811596402955,0.7454803261254874,0.06895931131485214,0.8048780487804879,0.758985200845666,6.413608673243834,3.9333081021118783,0.09999999999999999
BranchB,fusion_basic,Logistic Reg.,0.8402516371886763,0.3344828258282548,0.7353775257001064,0.06646745995828177,0.7073170731707317,0.7801268498942917,-0.4639902039905611,0.9572099250710584,0.11999999999999998
BranchB,fusion_window,Elastic LR,0.8411798071469087,0.33389677128581446,0.7348457993619284,0.07024409549658939,0.8048780487804879,0.7293868921775899,-0.7925556137375523,0.8092662567194391,0.09
BranchB,fusion_window_interaction,Elastic LR,0.8411282421492291,0.333884240899628,0.7348457993619284,0.06892877072977832,0.8048780487804879,0.7293868921775899,-0.6871346542604377,0.8539480393656997,0.09
BranchC,anchor_direct,Logistic Reg.,0.8415407621306656,0.33050692574763696,0.7240340304856434,0.06445334818835405,0.5609756097560976,0.8414376321353065,-0.12023435104410583,1.0277517463793857,0.14999999999999997
BranchC,anchor_plus_next_state,Elastic LR,0.8409219821585108,0.3310568659831481,0.7254519673874512,0.06772211930097698,0.6097560975609756,0.8181818181818182,3.0072802455028618,2.348922141519345,0.09
BranchC,anchor_plus_next_state_delta,Elastic LR,0.8409219821585108,0.3310568659831481,0.7254519673874512,0.06772198694924127,0.6097560975609756,0.8181818181818182,3.0071553506781212,2.348875970544984,0.09
BranchC,anchor_plus_next_state_delta_uncertainty,Elastic LR,0.8352498324137576,0.31560908745602606,0.7249202410492733,0.06760928534139522,0.8048780487804879,0.7251585623678647,4.062517765419713,2.855162173662576,0.09
BranchC,anchor_plus_next_state_delta_uncertainty_window,Elastic LR,0.8352498324137576,0.31560908745602606,0.7249202410492733,0.06760928137633027,0.8048780487804879,0.7251585623678647,4.062507591794574,2.855156832291943,0.09
