Split,Model,Metric,Value
Train_OOF,Multinomial LR,Macro_AUC,0.7700057268000245
Train_OOF,Multinomial LR,Hyper_PR_AUC,0.18912375154348562
Train_OOF,Multinomial LR,LogLoss,0.8815175085564848
Train_OOF,Multinomial LR,Mean_MaxProb,0.699039076744102
Train_OOF,LightGBM,Macro_AUC,0.7776510584049922
Train_OOF,LightGBM,Hyper_PR_AUC,0.19108852507125607
Train_OOF,LightGBM,LogLoss,0.6842438617103087
Train_OOF,LightGBM,Mean_MaxProb,0.9351666829676498
Train_OOF,EnsembleMean,Macro_AUC,0.7828946893793822
Train_OOF,EnsembleMean,Hyper_PR_AUC,0.19235793404292795
Train_OOF,EnsembleMean,LogLoss,0.5495589882809194
Train_OOF,EnsembleMean,Mean_MaxProb,0.7639884930272283
Test,EnsembleMean,Macro_AUC,0.7707988011658603
Test,EnsembleMean,Hyper_PR_AUC,0.2858352567929514
Test,EnsembleMean,LogLoss,0.5639236659198231
Test,EnsembleMean,Mean_MaxProb,0.7582754210838392
