feature,coefficient,abs_coefficient,selected
Ever_Hypo_Before,-0.7863803692939882,0.7863803692939882,True
Time_In_Normal,-0.7121096088513386,0.7121096088513386,True
Prev_State_2,0.5338966726617553,0.5338966726617553,True
ThyroidW,0.5332598051064268,0.5332598051064268,True
FT3_Current,0.40950963068472307,0.40950963068472307,True
FT4_Mean_ToDate,0.38140273691499627,0.38140273691499627,True
FT3_Baseline,-0.2627550599997649,0.2627550599997649,True
FT4_Current,-0.17448525516779462,0.17448525516779462,True
Start_Time,-0.17434132257911825,0.17434132257911825,True
logTSH_STD_ToDate,-0.14331840698249884,0.14331840698249884,True
Delta_TSH_k0,-0.138803846834097,0.138803846834097,True
Height,-0.10021705303084161,0.10021705303084161,True
FT3_Prev,-0.092237923756696,0.092237923756696,True
logTSH_Mean_ToDate,-0.08604187439017334,0.08604187439017334,True
Exophthalmos,0.08249601661404624,0.08249601661404624,True
Interval_Name_1M->3M,0.07880513216230363,0.07880513216230363,True
MaxUptake,0.07533349209128355,0.07533349209128355,True
Interval_Name_6M->12M,0.06914393658084533,0.06914393658084533,True
TGAb,-0.06909446655678626,0.06909446655678626,True
Interval_Name_12M->18M,-0.06039525274629132,0.06039525274629132,True
TPOAb,0.052791798162960396,0.052791798162960396,True
FT3_STD_ToDate,-0.03541775017594595,0.03541775017594595,True
logTSH_Baseline,-0.03418445877761542,0.03418445877761542,True
HalfLife,-0.03233401021215976,0.03233401021215976,True
Age,0.021038161341236834,0.021038161341236834,True
Prior_Relapse_Count,0.01640837709364492,0.01640837709364492,True
Ever_Hyper_Before,0.01640837709364492,0.01640837709364492,True
Event_Order,0.01640837709362969,0.01640837709362969,True
Uptake24h,0.011940351077086728,0.011940351077086728,True
Delta_TSH_1step,-0.0051062582797859165,0.0051062582797859165,True
logTSH_Current,-0.004861999794914263,0.004861999794914263,True
RAI3d,-0.004756943564592597,0.004756943564592597,True
Stop_Time,-0.0006994127980729469,0.0006994127980729469,True
Dose,-4.369361808585591e-05,4.369361808585591e-05,True
Sex,3.854437671678186e-05,3.854437671678186e-05,True
FT3_Mean_ToDate,9.871222839972536e-06,9.871222839972536e-06,True
Weight,0.0,0.0,False
BMI,0.0,0.0,False
TreatCount,0.0,0.0,False
TRAb,0.0,0.0,False
Interval_Width,0.0,0.0,False
FT4_Baseline,0.0,0.0,False
FT4_Prev,0.0,0.0,False
logTSH_Prev,0.0,0.0,False
FT4_STD_ToDate,0.0,0.0,False
Delta_FT4_k0,0.0,0.0,False
Delta_FT4_1step,0.0,0.0,False
Interval_Name_18M->24M,0.0,0.0,False
Interval_Name_3M->6M,0.0,0.0,False
Prev_State_0,0.0,0.0,False
Prev_State_1,0.0,0.0,False
