Task,Domain,Domain_Label,Model,Metric_Key,Metric,Value,Threshold,N,Events
BranchA direct_compact,Train_Fit,Train Fit,Logistic Reg.,prauc,PR-AUC,0.24202002595764252,0.11999999999999998,2096,169
BranchA direct_compact,Train_Fit,Train Fit,Logistic Reg.,auc,AUC,0.8147317932955234,0.11999999999999998,2096,169
BranchA direct_compact,Train_Fit,Train Fit,Logistic Reg.,recall,Sensitivity,0.6568047337278107,0.11999999999999998,2096,169
BranchA direct_compact,Train_Fit,Train Fit,Logistic Reg.,specificity,Specificity,0.7799688635184224,0.11999999999999998,2096,169
BranchA direct_compact,Train_Fit,Train Fit,Logistic Reg.,f1,F1,0.3153409090909091,0.11999999999999998,2096,169
BranchA direct_compact,Validation_OOF,Validation OOF,Logistic Reg.,prauc,PR-AUC,0.21318705798801085,0.11999999999999998,2096,169
BranchA direct_compact,Validation_OOF,Validation OOF,Logistic Reg.,auc,AUC,0.7975038613536078,0.11999999999999998,2096,169
BranchA direct_compact,Validation_OOF,Validation OOF,Logistic Reg.,recall,Sensitivity,0.650887573964497,0.11999999999999998,2096,169
BranchA direct_compact,Validation_OOF,Validation OOF,Logistic Reg.,specificity,Specificity,0.7830825116761806,0.11999999999999998,2096,169
BranchA direct_compact,Validation_OOF,Validation OOF,Logistic Reg.,f1,F1,0.31563845050215206,0.11999999999999998,2096,169
BranchA direct_compact,Test_Temporal,Temporal Test,Logistic Reg.,prauc,PR-AUC,0.2666986652352116,0.11999999999999998,514,41
BranchA direct_compact,Test_Temporal,Temporal Test,Logistic Reg.,auc,AUC,0.8259165678337544,0.11999999999999998,514,41
BranchA direct_compact,Test_Temporal,Temporal Test,Logistic Reg.,recall,Sensitivity,0.7317073170731707,0.11999999999999998,514,41
BranchA direct_compact,Test_Temporal,Temporal Test,Logistic Reg.,specificity,Specificity,0.7906976744186046,0.11999999999999998,514,41
BranchA direct_compact,Test_Temporal,Temporal Test,Logistic Reg.,f1,F1,0.35294117647058826,0.11999999999999998,514,41
BranchA direct_compact,Train_Fit,Train Fit,Elastic LR,prauc,PR-AUC,0.24300924669876656,0.11999999999999998,2096,169
BranchA direct_compact,Train_Fit,Train Fit,Elastic LR,auc,AUC,0.8163960904370469,0.11999999999999998,2096,169
BranchA direct_compact,Train_Fit,Train Fit,Elastic LR,recall,Sensitivity,0.6745562130177515,0.11999999999999998,2096,169
BranchA direct_compact,Train_Fit,Train Fit,Elastic LR,specificity,Specificity,0.7711468604047743,0.11999999999999998,2096,169
BranchA direct_compact,Train_Fit,Train Fit,Elastic LR,f1,F1,0.3149171270718232,0.11999999999999998,2096,169
BranchA direct_compact,Validation_OOF,Validation OOF,Elastic LR,prauc,PR-AUC,0.2131362237687223,0.11999999999999998,2096,169
BranchA direct_compact,Validation_OOF,Validation OOF,Elastic LR,auc,AUC,0.7978308865299405,0.11999999999999998,2096,169
BranchA direct_compact,Validation_OOF,Validation OOF,Elastic LR,recall,Sensitivity,0.6449704142011834,0.11999999999999998,2096,169
BranchA direct_compact,Validation_OOF,Validation OOF,Elastic LR,specificity,Specificity,0.7825635703165542,0.11999999999999998,2096,169
BranchA direct_compact,Validation_OOF,Validation OOF,Elastic LR,f1,F1,0.3127690100430416,0.11999999999999998,2096,169
BranchA direct_compact,Test_Temporal,Temporal Test,Elastic LR,prauc,PR-AUC,0.2635174532030039,0.11999999999999998,514,41
BranchA direct_compact,Test_Temporal,Temporal Test,Elastic LR,auc,AUC,0.8254524828546382,0.11999999999999998,514,41
BranchA direct_compact,Test_Temporal,Temporal Test,Elastic LR,recall,Sensitivity,0.7804878048780488,0.11999999999999998,514,41
BranchA direct_compact,Test_Temporal,Temporal Test,Elastic LR,specificity,Specificity,0.7758985200845666,0.11999999999999998,514,41
BranchA direct_compact,Test_Temporal,Temporal Test,Elastic LR,f1,F1,0.3575418994413408,0.11999999999999998,514,41
BranchA direct_compact,Train_Fit,Train Fit,LightGBM,prauc,PR-AUC,0.9993959142937698,0.22999999999999995,2096,169
BranchA direct_compact,Train_Fit,Train Fit,LightGBM,auc,AUC,0.9999477987981441,0.22999999999999995,2096,169
BranchA direct_compact,Train_Fit,Train Fit,LightGBM,recall,Sensitivity,1.0,0.22999999999999995,2096,169
