feature,coef,abs_coef,family,pretty_feature,odds_ratio,is_active,direction,family_order
Time_In_Normal,-0.5785831065646084,0.5785831065646084,State memory,Time spent in Normal,0.560692245173354,True,Risk down,1
Pred_logTSH_Margin_To_Hyper,0.4627341141711095,0.4627341141711095,Other,Pred logTSH Margin To Hyper,1.58841095030239,True,Risk up,6
Ever_Hypo_Before,-0.3179948029331188,0.3179948029331188,State memory,Had Hypo before,0.7276065698247759,True,Risk down,1
NextState_Entropy,0.14379204202848977,0.14379204202848977,Other,NextState Entropy,1.1546439661390024,True,Risk up,6
Start_Time,-0.14351439871434835,0.14351439871434835,Other,Start Time,0.8663083263713125,True,Risk down,6
Dose,0.12564971546756204,0.12564971546756204,Baseline clinic,Dose,1.1338849163637186,True,Risk up,5
NextState_MaxProb,-0.10022735721854736,0.10022735721854736,Other,NextState MaxProb,0.9046317201016985,True,Risk down,6
FT4_STD_ToDate,0.06325704936622553,0.06325704936622553,Other,FT4 STD ToDate,1.0653006388938504,True,Risk up,6
FT4_Prev,0.061939792281779024,0.061939792281779024,Other,FT4 Prev,1.0638982879113612,True,Risk up,6
logTSH_STD_ToDate,-0.051816401392291975,0.051816401392291975,Other,logTSH STD ToDate,0.9495031783022799,True,Risk down,6
Interval_Width,-0.04780027513061204,0.04780027513061204,Other,Interval Width,0.9533241706101683,True,Risk down,6
Prev_State_1,-0.0464063476836057,0.0464063476836057,Other,Prev State 1,0.9546539619384729,True,Risk down,6
Delta_FT4_1step,-0.036221936178899294,0.036221936178899294,Trajectory,FT4 change vs prior visit,0.9644262286576184,True,Risk down,2
Age,0.0,0.0,Baseline clinic,Age,1.0,False,Zeroed,5
Delta_TSH_1step,0.0,0.0,Trajectory,logTSH change vs prior visit,1.0,False,Zeroed,2
Event_Order,0.0,0.0,Other,Event Order,1.0,False,Zeroed,6
Ever_Hyper_Before,0.0,0.0,State memory,Had Hyper before,1.0,False,Zeroed,1
FT4_Current,0.0,0.0,Current physiology,Current FT4,1.0,False,Zeroed,0
P_next_hyper,0.0,0.0,Other,P next hyper,1.0,False,Zeroed,6
P_next_hypo,0.0,0.0,Other,P next hypo,1.0,False,Zeroed,6
Pred_Delta_FT4,0.0,0.0,Other,Pred Delta FT4,1.0,False,Zeroed,6
Pred_Delta_logTSH,0.0,0.0,Other,Pred Delta logTSH,1.0,False,Zeroed,6
Pred_FT4_Margin_To_Hyper,0.0,0.0,Other,Pred FT4 Margin To Hyper,1.0,False,Zeroed,6
Pred_Std_FT4,0.0,0.0,Other,Pred Std FT4,1.0,False,Zeroed,6
Pred_Std_logTSH,0.0,0.0,Other,Pred Std logTSH,1.0,False,Zeroed,6
Pred_Width_FT4,0.0,0.0,Other,Pred Width FT4,1.0,False,Zeroed,6
Pred_Width_logTSH,0.0,0.0,Other,Pred Width logTSH,1.0,False,Zeroed,6
Prev_State_0,0.0,0.0,Other,Prev State 0,1.0,False,Zeroed,6
Prev_State_2,0.0,0.0,Other,Prev State 2,1.0,False,Zeroed,6
Prior_Relapse_Count,0.0,0.0,State memory,Prior relapse count,1.0,False,Zeroed,1
Sex,0.0,0.0,Baseline clinic,Sex,1.0,False,Zeroed,5
TRAb,0.0,0.0,Baseline clinic,TRAb,1.0,False,Zeroed,5
logTSH_Current,0.0,0.0,Current physiology,Current logTSH,1.0,False,Zeroed,0
logTSH_Prev,0.0,0.0,Other,logTSH Prev,1.0,False,Zeroed,6
