Task,Domain,Domain_Label,Model,Metric_Key,Metric,Value,Threshold,N,Events
BranchB direct_branch,Train_Fit,Train Fit,Logistic Reg.,prauc,PR-AUC,0.30226529891230547,0.14999999999999997,2096,169
BranchB direct_branch,Train_Fit,Train Fit,Logistic Reg.,auc,AUC,0.8416798960889017,0.14999999999999997,2096,169
BranchB direct_branch,Train_Fit,Train Fit,Logistic Reg.,recall,Sensitivity,0.6153846153846154,0.14999999999999997,2096,169
BranchB direct_branch,Train_Fit,Train Fit,Logistic Reg.,specificity,Specificity,0.8412039439543332,0.14999999999999997,2096,169
BranchB direct_branch,Train_Fit,Train Fit,Logistic Reg.,f1,F1,0.3592400690846287,0.14999999999999997,2096,169
BranchB direct_branch,Validation_OOF,Validation OOF,Logistic Reg.,prauc,PR-AUC,0.2310583784903382,0.14999999999999997,2096,169
BranchB direct_branch,Validation_OOF,Validation OOF,Logistic Reg.,auc,AUC,0.8130245069289419,0.14999999999999997,2096,169
BranchB direct_branch,Validation_OOF,Validation OOF,Logistic Reg.,recall,Sensitivity,0.5798816568047337,0.14999999999999997,2096,169
BranchB direct_branch,Validation_OOF,Validation OOF,Logistic Reg.,specificity,Specificity,0.843798650752465,0.14999999999999997,2096,169
BranchB direct_branch,Validation_OOF,Validation OOF,Logistic Reg.,f1,F1,0.34507042253521125,0.14999999999999997,2096,169
BranchB direct_branch,Test_Temporal,Temporal Test,Logistic Reg.,prauc,PR-AUC,0.33050692574763696,0.14999999999999997,514,41
BranchB direct_branch,Test_Temporal,Temporal Test,Logistic Reg.,auc,AUC,0.8415407621306656,0.14999999999999997,514,41
BranchB direct_branch,Test_Temporal,Temporal Test,Logistic Reg.,recall,Sensitivity,0.5609756097560976,0.14999999999999997,514,41
BranchB direct_branch,Test_Temporal,Temporal Test,Logistic Reg.,specificity,Specificity,0.8414376321353065,0.14999999999999997,514,41
BranchB direct_branch,Test_Temporal,Temporal Test,Logistic Reg.,f1,F1,0.33093525179856115,0.14999999999999997,514,41
BranchB physio_branch,Train_Fit,Train Fit,Logistic Reg.,prauc,PR-AUC,0.211624913803894,0.09999999999999999,2096,169
BranchB physio_branch,Train_Fit,Train Fit,Logistic Reg.,auc,AUC,0.7942781341448062,0.09999999999999999,2096,169
BranchB physio_branch,Train_Fit,Train Fit,Logistic Reg.,recall,Sensitivity,0.650887573964497,0.09999999999999999,2096,169
BranchB physio_branch,Train_Fit,Train Fit,Logistic Reg.,specificity,Specificity,0.7768552153606643,0.09999999999999999,2096,169
BranchB physio_branch,Train_Fit,Train Fit,Logistic Reg.,f1,F1,0.31029619181946405,0.09999999999999999,2096,169
BranchB physio_branch,Validation_OOF,Validation OOF,Logistic Reg.,prauc,PR-AUC,0.19933596043892146,0.09999999999999999,2096,169
BranchB physio_branch,Validation_OOF,Validation OOF,Logistic Reg.,auc,AUC,0.7823394122144672,0.09999999999999999,2096,169
BranchB physio_branch,Validation_OOF,Validation OOF,Logistic Reg.,recall,Sensitivity,0.5384615384615384,0.09999999999999999,2096,169
BranchB physio_branch,Validation_OOF,Validation OOF,Logistic Reg.,specificity,Specificity,0.8214841722885314,0.09999999999999999,2096,169
BranchB physio_branch,Validation_OOF,Validation OOF,Logistic Reg.,f1,F1,0.30132450331125826,0.09999999999999999,2096,169
BranchB physio_branch,Test_Temporal,Temporal Test,Logistic Reg.,prauc,PR-AUC,0.26876811596402955,0.09999999999999999,514,41
BranchB physio_branch,Test_Temporal,Temporal Test,Logistic Reg.,auc,AUC,0.8343732274532047,0.09999999999999999,514,41
BranchB physio_branch,Test_Temporal,Temporal Test,Logistic Reg.,recall,Sensitivity,0.8048780487804879,0.09999999999999999,514,41
BranchB physio_branch,Test_Temporal,Temporal Test,Logistic Reg.,specificity,Specificity,0.758985200845666,0.09999999999999999,514,41
BranchB physio_branch,Test_Temporal,Temporal Test,Logistic Reg.,f1,F1,0.35106382978723405,0.09999999999999999,514,41
BranchB fusion_basic,Train_Fit,Train Fit,Logistic Reg.,prauc,PR-AUC,0.2228585417500484,0.11999999999999998,2096,169
BranchB fusion_basic,Train_Fit,Train Fit,Logistic Reg.,auc,AUC,0.8059681327015964,0.11999999999999998,2096,169
BranchB fusion_basic,Train_Fit,Train Fit,Logistic Reg.,recall,Sensitivity,0.5621301775147929,0.11999999999999998,2096,169
BranchB fusion_basic,Train_Fit,Train Fit,Logistic Reg.,specificity,Specificity,0.825116761805916,0.11999999999999998,2096,169
BranchB fusion_basic,Train_Fit,Train Fit,Logistic Reg.,f1,F1,0.3161397670549085,0.11999999999999998,2096,169
BranchB fusion_basic,Validation_OOF,Validation OOF,Logistic Reg.,prauc,PR-AUC,0.2142986955159198,0.11999999999999998,2096,169
BranchB fusion_basic,Validation_OOF,Validation OOF,Logistic Reg.,auc,AUC,0.7837734099360382,0.11999999999999998,2096,169
BranchB fusion_basic,Validation_OOF,Validation OOF,Logistic Reg.,recall,Sensitivity,0.4911242603550296,0.11999999999999998,2096,169
BranchB fusion_basic,Validation_OOF,Validation OOF,Logistic Reg.,specificity,Specificity,0.8619615983393877,0.11999999999999998,2096,169
BranchB fusion_basic,Validation_OOF,Validation OOF,Logistic Reg.,f1,F1,0.3204633204633205,0.11999999999999998,2096,169
BranchB fusion_basic,Test_Temporal,Temporal Test,Logistic Reg.,prauc,PR-AUC,0.3344828258282548,0.11999999999999998,514,41
BranchB fusion_basic,Test_Temporal,Temporal Test,Logistic Reg.,auc,AUC,0.8402516371886763,0.11999999999999998,514,41
BranchB fusion_basic,Test_Temporal,Temporal Test,Logistic Reg.,recall,Sensitivity,0.7073170731707317,0.11999999999999998,514,41
BranchB fusion_basic,Test_Temporal,Temporal Test,Logistic Reg.,specificity,Specificity,0.7801268498942917,0.11999999999999998,514,41
BranchB fusion_basic,Test_Temporal,Temporal Test,Logistic Reg.,f1,F1,0.3333333333333333,0.11999999999999998,514,41
BranchB fusion_basic,Train_Fit,Train Fit,Elastic LR,prauc,PR-AUC,0.22734869025688573,0.09,2096,169
BranchB fusion_basic,Train_Fit,Train Fit,Elastic LR,auc,AUC,0.8108228444741956,0.09,2096,169
BranchB fusion_basic,Train_Fit,Train Fit,Elastic LR,recall,Sensitivity,0.7159763313609467,0.09,2096,169
BranchB fusion_basic,Train_Fit,Train Fit,Elastic LR,specificity,Specificity,0.7581733264141152,0.09,2096,169
BranchB fusion_basic,Train_Fit,Train Fit,Elastic LR,f1,F1,0.3201058201058201,0.09,2096,169
BranchB fusion_basic,Validation_OOF,Validation OOF,Elastic LR,prauc,PR-AUC,0.20628753229897706,0.09,2096,169
BranchB fusion_basic,Validation_OOF,Validation OOF,Elastic LR,auc,AUC,0.7676156026321688,0.09,2096,169
BranchB fusion_basic,Validation_OOF,Validation OOF,Elastic LR,recall,Sensitivity,0.6094674556213018,0.09,2096,169
BranchB fusion_basic,Validation_OOF,Validation OOF,Elastic LR,specificity,Specificity,0.8121432278152568,0.09,2096,169
BranchB fusion_basic,Validation_OOF,Validation OOF,Elastic LR,f1,F1,0.3249211356466877,0.09,2096,169
BranchB fusion_basic,Test_Temporal,Temporal Test,Elastic LR,prauc,PR-AUC,0.33366459568858287,0.09,514,41
BranchB fusion_basic,Test_Temporal,Temporal Test,Elastic LR,auc,AUC,0.8406641571701129,0.09,514,41
BranchB fusion_basic,Test_Temporal,Temporal Test,Elastic LR,recall,Sensitivity,0.7804878048780488,0.09,514,41
BranchB fusion_basic,Test_Temporal,Temporal Test,Elastic LR,specificity,Specificity,0.7357293868921776,0.09,514,41
BranchB fusion_basic,Test_Temporal,Temporal Test,Elastic LR,f1,F1,0.32323232323232326,0.09,514,41
BranchB fusion_window,Train_Fit,Train Fit,Logistic Reg.,prauc,PR-AUC,0.21930468915204981,0.13999999999999999,2096,169
BranchB fusion_window,Train_Fit,Train Fit,Logistic Reg.,auc,AUC,0.7893865744650145,0.13999999999999999,2096,169
BranchB fusion_window,Train_Fit,Train Fit,Logistic Reg.,recall,Sensitivity,0.5207100591715976,0.13999999999999999,2096,169
BranchB fusion_window,Train_Fit,Train Fit,Logistic Reg.,specificity,Specificity,0.8588479501816295,0.13999999999999999,2096,169
BranchB fusion_window,Train_Fit,Train Fit,Logistic Reg.,f1,F1,0.332703213610586,0.13999999999999999,2096,169
BranchB fusion_window,Validation_OOF,Validation OOF,Logistic Reg.,prauc,PR-AUC,0.20641912394228312,0.13999999999999999,2096,169
BranchB fusion_window,Validation_OOF,Validation OOF,Logistic Reg.,auc,AUC,0.7763608392724994,0.13999999999999999,2096,169
BranchB fusion_window,Validation_OOF,Validation OOF,Logistic Reg.,recall,Sensitivity,0.4911242603550296,0.13999999999999999,2096,169
BranchB fusion_window,Validation_OOF,Validation OOF,Logistic Reg.,specificity,Specificity,0.8640373637778931,0.13999999999999999,2096,169
BranchB fusion_window,Validation_OOF,Validation OOF,Logistic Reg.,f1,F1,0.3229571984435798,0.13999999999999999,2096,169
BranchB fusion_window,Test_Temporal,Temporal Test,Logistic Reg.,prauc,PR-AUC,0.3044598390614746,0.13999999999999999,514,41
BranchB fusion_window,Test_Temporal,Temporal Test,Logistic Reg.,auc,AUC,0.8216882380240292,0.13999999999999999,514,41
BranchB fusion_window,Test_Temporal,Temporal Test,Logistic Reg.,recall,Sensitivity,0.6585365853658537,0.13999999999999999,514,41
BranchB fusion_window,Test_Temporal,Temporal Test,Logistic Reg.,specificity,Specificity,0.8097251585623678,0.13999999999999999,514,41
BranchB fusion_window,Test_Temporal,Temporal Test,Logistic Reg.,f1,F1,0.34177215189873417,0.13999999999999999,514,41
BranchB fusion_window,Train_Fit,Train Fit,Elastic LR,prauc,PR-AUC,0.2294046067591606,0.09,2096,169
BranchB fusion_window,Train_Fit,Train Fit,Elastic LR,auc,AUC,0.8125086362282481,0.09,2096,169
BranchB fusion_window,Train_Fit,Train Fit,Elastic LR,recall,Sensitivity,0.727810650887574,0.09,2096,169
BranchB fusion_window,Train_Fit,Train Fit,Elastic LR,specificity,Specificity,0.7472755578619616,0.09,2096,169
BranchB fusion_window,Train_Fit,Train Fit,Elastic LR,f1,F1,0.3157894736842105,0.09,2096,169
BranchB fusion_window,Validation_OOF,Validation OOF,Elastic LR,prauc,PR-AUC,0.20628753229897706,0.09,2096,169
BranchB fusion_window,Validation_OOF,Validation OOF,Elastic LR,auc,AUC,0.7676156026321688,0.09,2096,169
BranchB fusion_window,Validation_OOF,Validation OOF,Elastic LR,recall,Sensitivity,0.6094674556213018,0.09,2096,169
BranchB fusion_window,Validation_OOF,Validation OOF,Elastic LR,specificity,Specificity,0.8121432278152568,0.09,2096,169
BranchB fusion_window,Validation_OOF,Validation OOF,Elastic LR,f1,F1,0.3249211356466877,0.09,2096,169
BranchB fusion_window,Test_Temporal,Temporal Test,Elastic LR,prauc,PR-AUC,0.33389677128581446,0.09,514,41
BranchB fusion_window,Test_Temporal,Temporal Test,Elastic LR,auc,AUC,0.8411798071469087,0.09,514,41
BranchB fusion_window,Test_Temporal,Temporal Test,Elastic LR,recall,Sensitivity,0.8048780487804879,0.09,514,41
BranchB fusion_window,Test_Temporal,Temporal Test,Elastic LR,specificity,Specificity,0.7293868921775899,0.09,514,41
BranchB fusion_window,Test_Temporal,Temporal Test,Elastic LR,f1,F1,0.32673267326732675,0.09,514,41
BranchB fusion_window_interaction,Train_Fit,Train Fit,Logistic Reg.,prauc,PR-AUC,0.23222743090209844,0.12999999999999998,2096,169
BranchB fusion_window_interaction,Train_Fit,Train Fit,Logistic Reg.,auc,AUC,0.8006036915461688,0.12999999999999998,2096,169
BranchB fusion_window_interaction,Train_Fit,Train Fit,Logistic Reg.,recall,Sensitivity,0.5680473372781065,0.12999999999999998,2096,169
BranchB fusion_window_interaction,Train_Fit,Train Fit,Logistic Reg.,specificity,Specificity,0.8303061754021795,0.12999999999999998,2096,169
BranchB fusion_window_interaction,Train_Fit,Train Fit,Logistic Reg.,f1,F1,0.32432432432432434,0.12999999999999998,2096,169
BranchB fusion_window_interaction,Validation_OOF,Validation OOF,Logistic Reg.,prauc,PR-AUC,0.2078666640578322,0.12999999999999998,2096,169
BranchB fusion_window_interaction,Validation_OOF,Validation OOF,Logistic Reg.,auc,AUC,0.7838010458664325,0.12999999999999998,2096,169
BranchB fusion_window_interaction,Validation_OOF,Validation OOF,Logistic Reg.,recall,Sensitivity,0.5325443786982249,0.12999999999999998,2096,169
BranchB fusion_window_interaction,Validation_OOF,Validation OOF,Logistic Reg.,specificity,Specificity,0.8448365334717177,0.12999999999999998,2096,169
