feature,coefficient,abs_coefficient,selected
Ever_Hypo_Before,-0.7863803692939884,0.7863803692939884,True
Time_In_Normal,-0.7121096088513392,0.7121096088513392,True
Prev_State_2,0.5338966726617275,0.5338966726617275,True
ThyroidW,0.5332598051064698,0.5332598051064698,True
FT3_Current,0.40950963068473784,0.40950963068473784,True
FT4_Mean_ToDate,0.3814027369150073,0.3814027369150073,True
FT3_Baseline,-0.26275505999984705,0.26275505999984705,True
FT4_Current,-0.17448525516781072,0.17448525516781072,True
Start_Time,-0.1743413225791099,0.1743413225791099,True
logTSH_STD_ToDate,-0.14331840698246975,0.14331840698246975,True
Delta_TSH_k0,-0.13880384683414315,0.13880384683414315,True
Height,-0.10021705303084694,0.10021705303084694,True
FT3_Prev,-0.0922379237566921,0.0922379237566921,True
logTSH_Mean_ToDate,-0.08604187439013398,0.08604187439013398,True
Exophthalmos,0.08249601661404114,0.08249601661404114,True
Interval_Name_1M->3M,0.07880513216231329,0.07880513216231329,True
MaxUptake,0.07533349209127681,0.07533349209127681,True
Interval_Name_6M->12M,0.0691439365808568,0.0691439365808568,True
TGAb,-0.06909446655678517,0.06909446655678517,True
Interval_Name_12M->18M,-0.06039525274628081,0.06039525274628081,True
TPOAb,0.05279179816295784,0.05279179816295784,True
FT3_STD_ToDate,-0.03541775017588654,0.03541775017588654,True
logTSH_Baseline,-0.034184458777635,0.034184458777635,True
HalfLife,-0.032334010212174955,0.032334010212174955,True
Age,0.02103816134122948,0.02103816134122948,True
Event_Order,0.016408377093671107,0.016408377093671107,True
Prior_Relapse_Count,0.016408377093625456,0.016408377093625456,True
Ever_Hyper_Before,0.016408377093625456,0.016408377093625456,True
Uptake24h,0.011940351077083276,0.011940351077083276,True
Delta_TSH_1step,-0.005106258279777929,0.005106258279777929,True
logTSH_Current,-0.004861999794902788,0.004861999794902788,True
RAI3d,-0.004756943564630617,0.004756943564630617,True
Stop_Time,-0.000699412798075395,0.000699412798075395,True
Dose,-4.369361808591604e-05,4.369361808591604e-05,True
Sex,3.854437671693873e-05,3.854437671693873e-05,True
FT3_Mean_ToDate,9.871222840171087e-06,9.871222840171087e-06,True
Weight,0.0,0.0,False
BMI,0.0,0.0,False
TreatCount,0.0,0.0,False
TRAb,0.0,0.0,False
Interval_Width,0.0,0.0,False
FT4_Baseline,0.0,0.0,False
FT4_Prev,0.0,0.0,False
logTSH_Prev,0.0,0.0,False
FT4_STD_ToDate,0.0,0.0,False
Delta_FT4_k0,0.0,0.0,False
Delta_FT4_1step,0.0,0.0,False
Interval_Name_18M->24M,0.0,0.0,False
Interval_Name_3M->6M,0.0,0.0,False
Prev_State_0,0.0,0.0,False
Prev_State_1,0.0,0.0,False
