Task,Domain,Domain_Label,Model,Metric_Key,Metric,Value,Threshold,N,Events
BranchC anchor_direct,Train_Fit,Train Fit,Logistic Reg.,prauc,PR-AUC,0.30226529891230547,0.14999999999999997,2096,169
BranchC anchor_direct,Train_Fit,Train Fit,Logistic Reg.,auc,AUC,0.8416798960889017,0.14999999999999997,2096,169
BranchC anchor_direct,Train_Fit,Train Fit,Logistic Reg.,recall,Sensitivity,0.6153846153846154,0.14999999999999997,2096,169
BranchC anchor_direct,Train_Fit,Train Fit,Logistic Reg.,specificity,Specificity,0.8412039439543332,0.14999999999999997,2096,169
BranchC anchor_direct,Train_Fit,Train Fit,Logistic Reg.,f1,F1,0.3592400690846287,0.14999999999999997,2096,169
BranchC anchor_direct,Validation_OOF,Validation OOF,Logistic Reg.,prauc,PR-AUC,0.2310583784903382,0.14999999999999997,2096,169
BranchC anchor_direct,Validation_OOF,Validation OOF,Logistic Reg.,auc,AUC,0.8130245069289419,0.14999999999999997,2096,169
BranchC anchor_direct,Validation_OOF,Validation OOF,Logistic Reg.,recall,Sensitivity,0.5798816568047337,0.14999999999999997,2096,169
BranchC anchor_direct,Validation_OOF,Validation OOF,Logistic Reg.,specificity,Specificity,0.843798650752465,0.14999999999999997,2096,169
BranchC anchor_direct,Validation_OOF,Validation OOF,Logistic Reg.,f1,F1,0.34507042253521125,0.14999999999999997,2096,169
BranchC anchor_direct,Test_Temporal,Temporal Test,Logistic Reg.,prauc,PR-AUC,0.33050692574763696,0.14999999999999997,514,41
BranchC anchor_direct,Test_Temporal,Temporal Test,Logistic Reg.,auc,AUC,0.8415407621306656,0.14999999999999997,514,41
BranchC anchor_direct,Test_Temporal,Temporal Test,Logistic Reg.,recall,Sensitivity,0.5609756097560976,0.14999999999999997,514,41
BranchC anchor_direct,Test_Temporal,Temporal Test,Logistic Reg.,specificity,Specificity,0.8414376321353065,0.14999999999999997,514,41
BranchC anchor_direct,Test_Temporal,Temporal Test,Logistic Reg.,f1,F1,0.33093525179856115,0.14999999999999997,514,41
BranchC anchor_plus_next_state,Train_Fit,Train Fit,Logistic Reg.,prauc,PR-AUC,0.22110629215863167,0.09,2096,169
BranchC anchor_plus_next_state,Train_Fit,Train Fit,Logistic Reg.,auc,AUC,0.8072455268175998,0.09,2096,169
BranchC anchor_plus_next_state,Train_Fit,Train Fit,Logistic Reg.,recall,Sensitivity,0.5739644970414202,0.09,2096,169
BranchC anchor_plus_next_state,Train_Fit,Train Fit,Logistic Reg.,specificity,Specificity,0.8204462895692787,0.09,2096,169
BranchC anchor_plus_next_state,Train_Fit,Train Fit,Logistic Reg.,f1,F1,0.31699346405228757,0.09,2096,169
BranchC anchor_plus_next_state,Validation_OOF,Validation OOF,Logistic Reg.,prauc,PR-AUC,0.21491958269994507,0.09,2096,169
BranchC anchor_plus_next_state,Validation_OOF,Validation OOF,Logistic Reg.,auc,AUC,0.7873292329801052,0.09,2096,169
BranchC anchor_plus_next_state,Validation_OOF,Validation OOF,Logistic Reg.,recall,Sensitivity,0.5088757396449705,0.09,2096,169
BranchC anchor_plus_next_state,Validation_OOF,Validation OOF,Logistic Reg.,specificity,Specificity,0.8469122989102231,0.09,2096,169
BranchC anchor_plus_next_state,Validation_OOF,Validation OOF,Logistic Reg.,f1,F1,0.31272727272727274,0.09,2096,169
BranchC anchor_plus_next_state,Test_Temporal,Temporal Test,Logistic Reg.,prauc,PR-AUC,0.3168373946804126,0.09,514,41
BranchC anchor_plus_next_state,Test_Temporal,Temporal Test,Logistic Reg.,auc,AUC,0.8424173670912185,0.09,514,41
BranchC anchor_plus_next_state,Test_Temporal,Temporal Test,Logistic Reg.,recall,Sensitivity,0.6829268292682927,0.09,514,41
BranchC anchor_plus_next_state,Test_Temporal,Temporal Test,Logistic Reg.,specificity,Specificity,0.7991543340380549,0.09,514,41
