feature,coef,abs_coef,family,pretty_feature,odds_ratio,is_active,direction,family_order
Time_In_Normal,-0.6371012350440544,0.6371012350440544,State memory,Time spent in Normal,0.528823138362051,True,Risk down,1
ThyroidW,0.4816218060705078,0.4816218060705078,Baseline clinic,Thyroid weight,1.6186974879620253,True,Risk up,5
logTSH_Mean_ToDate,-0.4586101469599821,0.4586101469599821,Other,logTSH Mean ToDate,0.6321616470059379,True,Risk down,6
FT3_Current,0.40248441701125054,0.40248441701125054,Current physiology,Current FT3,1.4955356201286192,True,Risk up,0
Start_Time,-0.36368659959217076,0.36368659959217076,Other,Start Time,0.6951090080563478,True,Risk down,6
FT4_Mean_ToDate,0.32783058359219014,0.32783058359219014,Other,FT4 Mean ToDate,1.3879538102210847,True,Risk up,6
FT3_Baseline,-0.27829718938019826,0.27829718938019826,Other,FT3 Baseline,0.757071794380817,True,Risk down,6
Delta_TSH_1step,-0.24547241948771592,0.24547241948771592,Trajectory,logTSH change vs prior visit,0.7823348606931935,True,Risk down,2
Ever_Hypo_Before,-0.22138084652332268,0.22138084652332268,State memory,Had Hypo before,0.8014114074145635,True,Risk down,1
FT4_Current,-0.2170582676062456,0.2170582676062456,Current physiology,Current FT4,0.8048830693288826,True,Risk down,0
FT3_Prev,-0.18193122128793326,0.18193122128793326,Other,FT3 Prev,0.8336586764140317,True,Risk down,6
logTSH_Baseline,0.1676678427768122,0.1676678427768122,Other,logTSH Baseline,1.1825437549565505,True,Risk up,6
Height,-0.09636193567358045,0.09636193567358045,Baseline clinic,Height,0.908135270029175,True,Risk down,5
FT3_Mean_ToDate,0.07869948044134087,0.07869948044134087,Other,FT3 Mean ToDate,1.0818791473681935,True,Risk up,6
TPOAb,0.07474031588790081,0.07474031588790081,Baseline clinic,TPOAb,1.077604277836828,True,Risk up,5
RAI3d,-0.050499464390276284,0.050499464390276284,Baseline clinic,RAI 3d uptake,0.9507544379055123,True,Risk down,5
TGAb,-0.04705523479189261,0.04705523479189261,Baseline clinic,TGAb,0.9540347002268952,True,Risk down,5
MaxUptake,0.04528739319792398,0.04528739319792398,Baseline clinic,Max uptake,1.0463285244028895,True,Risk up,5
Uptake24h,0.03812394124679362,0.03812394124679362,Baseline clinic,24h uptake,1.0388599825011138,True,Risk up,5
Ever_Hyper_Before,0.03376674636758273,0.03376674636758273,State memory,Had Hyper before,1.0343433142528227,True,Risk up,1
Prior_Relapse_Count,0.03376674636758273,0.03376674636758273,State memory,Prior relapse count,1.0343433142528227,True,Risk up,1
Event_Order,0.033766746367577774,0.033766746367577774,Other,Event Order,1.0343433142528176,True,Risk up,6
Age,0.017316370141904715,0.017316370141904715,Baseline clinic,Age,1.0174671676436426,True,Risk up,5
Sex,0.0157422453397424,0.0157422453397424,Baseline clinic,Sex,1.015866807253617,True,Risk up,5
Dose,-0.013838551025895809,0.013838551025895809,Baseline clinic,Dose,0.9862567615521379,True,Risk down,5
HalfLife,-0.0006053977476481216,0.0006053977476481216,Baseline clinic,Effective half-life,0.9993947854685935,True,Risk down,5
Delta_TSH_k0,0.0,0.0,Trajectory,logTSH change vs 0M,1.0,False,Zeroed,2
Exophthalmos,0.0,0.0,Baseline clinic,Exophthalmos,1.0,False,Zeroed,5
FT3_STD_ToDate,0.0,0.0,Other,FT3 STD ToDate,1.0,False,Zeroed,6
Stop_Time,0.0,0.0,Other,Stop Time,1.0,False,Zeroed,6
logTSH_Current,0.0,0.0,Current physiology,Current logTSH,1.0,False,Zeroed,0
logTSH_STD_ToDate,0.0,0.0,Other,logTSH STD ToDate,1.0,False,Zeroed,6
