Split,Model,Metric,Value
Train_OOF,Binary LR,AUC,0.7888267886090343
Train_OOF,Binary LR,Hyper_PR_AUC,0.22576916816428183
Train_OOF,Binary LR,LogLoss,0.5290565158882009
Train_OOF,Binary LR,Mean_MaxProb,0.801919879100268
Train_OOF,Binary LR,Mean_P_Hyper,0.33325752143146387
Test,Binary LR,AUC,0.8134586552877408
Test,Binary LR,Hyper_PR_AUC,0.3239786282217224
Test,Binary LR,LogLoss,0.5634306797431885
Test,Binary LR,Mean_MaxProb,0.7934192274925338
Test,Binary LR,Mean_P_Hyper,0.3572742165823731
Train_OOF,LightGBM,AUC,0.758573064608486
Train_OOF,LightGBM,Hyper_PR_AUC,0.19508551239653024
Train_OOF,LightGBM,LogLoss,0.33595900114398664
Train_OOF,LightGBM,Mean_MaxProb,0.958084392307552
Train_OOF,LightGBM,Mean_P_Hyper,0.05621162731157689
Test,LightGBM,AUC,0.8205224310921462
Test,LightGBM,Hyper_PR_AUC,0.25379767330956776
Test,LightGBM,LogLoss,0.2800638183464345
Test,LightGBM,Mean_MaxProb,0.9331421259847726
Test,LightGBM,Mean_P_Hyper,0.08855091196936118
Train_OOF,EnsembleMean,AUC,0.7927665271426613
Train_OOF,EnsembleMean,Hyper_PR_AUC,0.22138806481966666
Train_OOF,EnsembleMean,LogLoss,0.3102827325068905
Train_OOF,EnsembleMean,Mean_MaxProb,0.8277961839575151
Train_OOF,EnsembleMean,Mean_P_Hyper,0.19473457437152036
Test,EnsembleMean,AUC,0.81611117518164
Test,EnsembleMean,Hyper_PR_AUC,0.28585532263581015
Test,EnsembleMean,LogLoss,0.33355040494308175
Test,EnsembleMean,Mean_MaxProb,0.8171434393151038
Test,EnsembleMean,Mean_P_Hyper,0.22291256427586717
