Split,Model,Metric,Value
Train_OOF,Binary LR,AUC,0.7888267886090343
Train_OOF,Binary LR,Hyper_PR_AUC,0.22576916816428183
Train_OOF,Binary LR,LogLoss,0.5290565158919547
Train_OOF,Binary LR,Mean_MaxProb,0.8019198790973404
Train_OOF,Binary LR,Mean_P_Hyper,0.3332575214340754
Test,Binary LR,AUC,0.8134586552877408
Test,Binary LR,Hyper_PR_AUC,0.3239786282217224
Test,Binary LR,LogLoss,0.5634306797432215
Test,Binary LR,Mean_MaxProb,0.7934192274925289
Test,Binary LR,Mean_P_Hyper,0.35727421658239167
Train_OOF,LightGBM,AUC,0.7558773479148017
Train_OOF,LightGBM,Hyper_PR_AUC,0.191840752415998
Train_OOF,LightGBM,LogLoss,0.3386916970546724
Train_OOF,LightGBM,Mean_MaxProb,0.9582308762659908
Train_OOF,LightGBM,Mean_P_Hyper,0.05657782874649158
Test,LightGBM,AUC,0.8260004613078077
Test,LightGBM,Hyper_PR_AUC,0.26736555614873214
Test,LightGBM,LogLoss,0.2788886987809876
Test,LightGBM,Mean_MaxProb,0.9357992220239444
Test,LightGBM,Mean_P_Hyper,0.0841733375441339
Train_OOF,EnsembleMean,AUC,0.7914640342599986
Train_OOF,EnsembleMean,Hyper_PR_AUC,0.21996076393357666
Train_OOF,EnsembleMean,LogLoss,0.310879650999665
Train_OOF,EnsembleMean,Mean_MaxProb,0.8281626185411518
Train_OOF,EnsembleMean,Mean_P_Hyper,0.19491767509028346
Test,EnsembleMean,AUC,0.8151020643524391
Test,EnsembleMean,Hyper_PR_AUC,0.29428697913629026
Test,EnsembleMean,LogLoss,0.3304602147511666
Test,EnsembleMean,Mean_MaxProb,0.8175749834989314
Test,EnsembleMean,Mean_P_Hyper,0.22072377706326282
