Split,Model,Metric,Value
Train_OOF,Binary LR,AUC,0.8985936860279486
Train_OOF,Binary LR,Hyper_PR_AUC,0.49416645562891587
Train_OOF,Binary LR,LogLoss,0.34910910337311063
Train_OOF,Binary LR,Mean_MaxProb,0.9103947537452388
Train_OOF,Binary LR,Mean_P_Hyper,0.19803747881118547
Test,Binary LR,AUC,0.914195843861187
Test,Binary LR,Hyper_PR_AUC,0.6480546445303137
Test,Binary LR,LogLoss,0.38726972201187926
Test,Binary LR,Mean_MaxProb,0.8913122627465374
Test,Binary LR,Mean_P_Hyper,0.2404684047573865
Train_OOF,LightGBM,AUC,0.9446075428702008
Train_OOF,LightGBM,Hyper_PR_AUC,0.564653327920002
Train_OOF,LightGBM,LogLoss,0.21996910889901755
Train_OOF,LightGBM,Mean_MaxProb,0.9777551841415514
Train_OOF,LightGBM,Mean_P_Hyper,0.06654489584240159
Test,LightGBM,AUC,0.9364719228587635
Test,LightGBM,Hyper_PR_AUC,0.6973361549840513
Test,LightGBM,LogLoss,0.1902480347077261
Test,LightGBM,Mean_MaxProb,0.9795281782587865
Test,LightGBM,Mean_P_Hyper,0.07060816227556636
Train_OOF,EnsembleMean,AUC,0.9241364864049968
Train_OOF,EnsembleMean,Hyper_PR_AUC,0.5720959996151268
Train_OOF,EnsembleMean,LogLoss,0.19761507594791897
Train_OOF,EnsembleMean,Mean_MaxProb,0.915978058319853
Train_OOF,EnsembleMean,Mean_P_Hyper,0.13229118732679349
Test,EnsembleMean,AUC,0.9245604083947816
Test,EnsembleMean,Hyper_PR_AUC,0.7473046493977366
Test,EnsembleMean,LogLoss,0.1973226439948402
Test,EnsembleMean,Mean_MaxProb,0.8974451813323062
Test,EnsembleMean,Mean_P_Hyper,0.1555382835164764
