Metric,Delta,CI_Low,CI_High,OneSided_P,Group,Baseline
prauc,0.01793109593208808,0.0003727379183814122,0.03841185639047222,0.02348825587206397,current_champion_ref,direct_anchor_ref
auc,0.008353529624091305,-0.001741100645765711,0.019664291855524627,0.05747126436781609,current_champion_ref,direct_anchor_ref
prauc,0.018788699981987622,0.0016409822589139992,0.03845017972707558,0.01249375312343828,champion_sidecar_calibrated,direct_anchor_ref
auc,0.005826844737792047,-0.006434921261014451,0.01842620934478206,0.18840579710144928,champion_sidecar_calibrated,direct_anchor_ref
prauc,0.0008576040498995408,-0.004065147696414403,0.006187341093265262,0.3553223388305847,champion_sidecar_calibrated,current_champion_ref
auc,-0.0025266848862992575,-0.008961471232239365,0.003896414802707605,0.7796101949025487,champion_sidecar_calibrated,current_champion_ref
prauc,0.015438725779322926,-0.00859814603455864,0.04144607379132442,0.09745127436281859,direct_windowed_core,direct_anchor_ref
auc,0.01026143453823547,-0.001113191118529677,0.022175802909761847,0.035982008995502246,direct_windowed_core,direct_anchor_ref
prauc,-0.0024923701527651554,-0.0185803372381561,0.007674554682280843,0.4827586206896552,direct_windowed_core,current_champion_ref
auc,0.001907904914144165,-0.001366671014753623,0.005531408444930189,0.1359320339830085,direct_windowed_core,current_champion_ref
prauc,0.020720017187550566,0.004774358615442615,0.040400841325146264,0.005997001499250375,direct_windowed_core_plus_champion_calibrated,direct_anchor_ref
auc,0.007167534677461118,-0.005415782653075185,0.019816904333379425,0.14642678660669664,direct_windowed_core_plus_champion_calibrated,direct_anchor_ref
prauc,0.0027889212554624843,-0.0024057737669168533,0.008907496895974707,0.15742128935532235,direct_windowed_core_plus_champion_calibrated,current_champion_ref
auc,-0.0011859949466301867,-0.007697730540561188,0.005322922594336303,0.6411794102948526,direct_windowed_core_plus_champion_calibrated,current_champion_ref
prauc,0.0014475323920749017,-0.034220906358465884,0.03035616244692497,0.4447776111944028,stage1_nonhyper_scope_plus_champion_calibrated,direct_anchor_ref
auc,0.001650079925746395,-0.013109919933752304,0.01555885759373185,0.41529235382308843,stage1_nonhyper_scope_plus_champion_calibrated,direct_anchor_ref
prauc,-0.01648356354001318,-0.048808476181527324,0.012395483528163692,0.8660669665167416,stage1_nonhyper_scope_plus_champion_calibrated,current_champion_ref
auc,-0.00670344969834491,-0.01818792133106065,0.003909812506274854,0.8835582208895553,stage1_nonhyper_scope_plus_champion_calibrated,current_champion_ref
prauc,-0.059959904574140965,-0.14967561451598868,0.0424941070847741,0.862568715642179,monotonic_tree_direct_plus_champion_calibrated,direct_anchor_ref
auc,0.005569019749394166,-0.02317587135198328,0.03324436714801251,0.3468265867066467,monotonic_tree_direct_plus_champion_calibrated,direct_anchor_ref
prauc,-0.07789100050622905,-0.16093130332252875,0.01990386609813103,0.936031984007996,monotonic_tree_direct_plus_champion_calibrated,current_champion_ref
auc,-0.0027845098746971386,-0.02463338878392258,0.019176823077606302,0.592703648175912,monotonic_tree_direct_plus_champion_calibrated,current_champion_ref
prauc,-0.06513509784809646,-0.12522714331128298,0.007161174280209728,0.952023988005997,direct_windowed_core_plus_champion_calibrated_plus_rule_sidecar,direct_anchor_ref
auc,-0.0006703449698344244,-0.02100378464818776,0.018912039067975252,0.5327336331834083,direct_windowed_core_plus_champion_calibrated_plus_rule_sidecar,direct_anchor_ref
prauc,-0.08306619378018454,-0.14028679722870332,-0.010106331486250545,0.9870064967516242,direct_windowed_core_plus_champion_calibrated_plus_rule_sidecar,current_champion_ref
auc,-0.00902387459392573,-0.0242316567160371,0.006852193228632404,0.881559220389805,direct_windowed_core_plus_champion_calibrated_plus_rule_sidecar,current_champion_ref
