Group,Interval_Name,n,positives,AUC,PR_AUC,Brier,Calibration_Intercept,Calibration_Slope
direct_anchor_ref,1M->3M,68,17,0.5155709342560555,0.2570337976018656,0.20536639258340703,-1.2038400346134501,-0.07174796997703889
direct_anchor_ref,3M->6M,71,10,0.639344262295082,0.44022189879086426,0.11178735802895459,-0.7099413948762433,0.711954757804414
direct_anchor_ref,6M->12M,110,8,0.8700980392156863,0.460180002763958,0.05302584144198645,0.2992656288353932,1.4276534760644908
direct_anchor_ref,12M->18M,128,2,0.7460317460317459,0.043498168498168496,0.018067751758682846,-2.0484456535472493,0.6510480428013737
direct_anchor_ref,18M->24M,137,4,0.9605263157894737,0.48942307692307696,0.022494080798223473,2.049484401788423,1.722386258656798
current_champion_ref,1M->3M,68,17,0.5271049596309112,0.26118053041308664,0.1919225485168191,-0.6886841120890226,0.29252420995474765
current_champion_ref,3M->6M,71,10,0.6508196721311476,0.4459020039566043,0.10981740728199502,0.006972630829096131,1.0349670706216032
current_champion_ref,6M->12M,110,8,0.8651960784313726,0.4503940308517773,0.055637438179659215,1.4803243181668129,2.0103277654150125
current_champion_ref,12M->18M,128,2,0.7380952380952381,0.04327731092436975,0.017738265574840553,-1.923995460936018,0.7117377953637143
current_champion_ref,18M->24M,137,4,0.9530075187969925,0.4930555555555556,0.023286399198352136,2.9125563415160407,2.1183699163925596
champion_sidecar_calibrated,1M->3M,68,17,0.5271049596309112,0.26118053041308664,0.1918349408255573,-0.6709800041103032,0.301287407735568
champion_sidecar_calibrated,3M->6M,71,10,0.6508196721311476,0.4459020039566043,0.11046155606931796,0.19368600824375184,1.1742597709090237
champion_sidecar_calibrated,6M->12M,110,8,0.8651960784313726,0.4503940308517773,0.05660695912042897,1.844715714119645,2.2807650955089462
champion_sidecar_calibrated,12M->18M,128,2,0.75,0.04503676470588235,0.017151664146526115,-1.8153283338728614,0.7168521563775153
champion_sidecar_calibrated,18M->24M,137,4,0.9530075187969925,0.4930555555555556,0.023590909116403765,3.1186787794375683,2.0862896530281994
direct_windowed_core,1M->3M,68,17,0.5282583621683967,0.26045847237612757,0.19138481200630683,-0.7081707666263306,0.28881546377045836
direct_windowed_core,3M->6M,71,10,0.6540983606557378,0.4518790154508572,0.1089512680123724,0.05778335402614224,1.09428273492586
direct_windowed_core,6M->12M,110,8,0.866421568627451,0.4658234126984127,0.05535823994645512,1.2481472917182386,1.8701008886807673
