,PC1,PC2,PC3,PC4,PC5,PC6
Latent_Delta_FT3,0.2899436154318244,-0.06812804244457075,0.048286097862428344,0.15197160658186792,0.051790612826897044,-0.0032277679115770277
Latent_Uncertainty_FT3,0.24293790993984388,-0.006910923403834784,-0.16508977544171982,-0.16953976724129322,0.03537785628341676,0.20117035070702188
Latent_SignAgreement_FT3,0.09821842726790082,-0.04978600170306356,0.06998434466464537,0.11094499107302082,-0.018426935995136992,-0.2516569505305449
Latent_Next_FT3,0.23800139642408827,0.10277328131426565,-0.06880800929871493,0.026736833175618997,0.041028263710434554,-0.1649077236741135
Latent_NextMinusHistMean_FT3,-0.047107640398605904,-0.1192261816329316,-0.25492121945117013,0.17177662322324744,0.25921371998789916,-0.05357907154954255
Latent_NextZ_FT3,0.0701456546980929,-0.0643838230434984,-0.2424947342099211,0.2144990295590917,0.21963080942854327,-0.11482335260693304
Latent_Delta_FT4,0.18115803140891032,-0.2516019945296663,0.17869791419821404,0.13835570964714788,0.047286829734780524,0.08318388113855756
Latent_Uncertainty_FT4,0.2402924588056001,0.0022342715556107487,-0.18174924573019322,-0.22233287895450976,-0.005751923367204894,0.21572932461793054
Latent_SignAgreement_FT4,-0.0021297307844647347,-0.10284958547113772,0.07726121479278023,0.05756709163251832,-0.026323502730387763,-0.3078159141290037
Latent_Next_FT4,0.1016967914305297,-0.012815948424246023,-0.2446565389361017,-0.07004046817170734,0.006913319106358972,-0.14926227557029031
Latent_NextMinusHistMean_FT4,-0.059029138763156255,-0.14627538046167013,-0.28464759848619187,0.15038681904738624,0.23912889461230338,-0.03153189153466343
Latent_NextZ_FT4,0.0223855131604656,-0.1441299387046288,-0.2669692578030221,0.19005146509060394,0.22030839366135282,-0.06739039012325478
Latent_Delta_logTSH,0.06419997500335217,0.3503748125668161,-0.012698102447930038,0.00048105685148508236,0.07477105734244784,-0.11999444405011009
Latent_Uncertainty_logTSH,0.15524862785253069,-0.06827981252179258,-0.09640724994632806,-0.16182639905026386,-0.03061369226121328,0.19283725089308665
Latent_SignAgreement_logTSH,0.02677165966391441,0.09255827767938567,0.03309069588913416,0.0030101520359395416,-0.017203951788042387,-0.2622813940514386
Latent_Next_logTSH,-0.03783699668985541,-0.06758443963621337,0.18569816879722786,0.21420949013397692,-0.08671447726056294,0.3432293085281558
Latent_NextMinusHistMean_logTSH,0.10205414492949949,0.18832777955275823,0.2615569530903874,0.13790371547215838,-0.04474843250019631,0.11356716277925967
Latent_NextZ_logTSH,0.1578422760438119,0.2842115413724626,0.13954414442826413,0.0798508034757459,-0.08048923402969037,-0.017041452461539913
Latent_DeltaNorm,0.2581282752597905,-0.048098498330914556,0.03812271090972412,-0.013934089666063893,-0.05231061744016822,-0.19266590945510723
Latent_UncertaintyNorm,0.2519886442490909,-0.008015809769635686,-0.18742866929482366,-0.2254755248552066,0.005461699517538568,0.2259113323395059
Latent_ForecastAgreement,-0.2361352922466511,-0.021642967101657345,0.15334994294058185,0.23005768767636578,0.003085067683831097,-0.16086519163880048
Latent_FT4_minus_logTSH,0.11344470364969479,-0.32559025313344697,0.14096832910888793,0.10520144588867096,0.007433960610521217,0.10923392013981188
Latent_FT4_over_logTSH_abs,0.09502639982525711,-0.17686208050347063,0.14686223777783836,0.06950178504873024,0.01916978229475312,0.10553211991453243
Latent_Delta_FT4_x_Window_1M->3M,0.14701352207869733,-0.06419661321016544,-0.10875119641872766,0.24389170427529666,0.14998746681265807,-0.014009366242927732
Latent_Delta_FT4_x_Window_3M->6M,0.0883952385169442,-0.10345502910193981,0.25231748557782213,-0.06032743574177061,0.31258534731823984,-0.04541999843771846
Latent_Delta_FT4_x_Window_6M->12M,0.1000219481834718,-0.22117262388175563,0.10573223767858056,0.013982793925664995,-0.2795998257696532,-0.004547795066962194
Latent_Delta_FT4_x_Window_HighRisk,0.1951674050803355,-0.2423315085860269,0.14993397365017352,0.1080211326846341,0.05545660389369164,-0.035014093784393116
Latent_Delta_logTSH_x_Window_1M->3M,0.16346037668124117,0.23475713113722482,0.012448113491329826,0.26327935270267344,-0.14548462287074915,0.05241060184413325
Latent_Delta_logTSH_x_Window_3M->6M,0.025681124438012584,0.12737186966053388,0.15936202173445435,-0.181546053259843,0.14964304666866735,-0.0762806939267243
Latent_Delta_logTSH_x_Window_6M->12M,-0.04167264526817694,0.19156784004453106,-0.10025519999177956,-0.08701276093911392,0.18618415240049363,-0.12611748169966724
Latent_Delta_logTSH_x_Window_HighRisk,0.10805557817677638,0.33644528583917555,0.03978540880851523,0.04579709755232497,0.07405600096148875,-0.06983865451550182
Latent_DeltaNorm_x_Window_1M->3M,0.21365084136380563,0.17025401978214716,-0.053356479374356044,0.32119126453187186,-0.06287828947744532,0.017491847395455763
Latent_DeltaNorm_x_Window_3M->6M,0.100980007913519,-0.030054183101613317,0.2987390905178459,-0.18001180710605208,0.36685754241176644,-0.07092898922343782
Latent_DeltaNorm_x_Window_6M->12M,0.07684020071249564,-0.17766653779947758,-0.04795042744853234,-0.13220371937563224,-0.32658670305590276,-0.3222919402051526
Latent_DeltaNorm_x_Window_HighRisk,0.27050353707847796,-0.020757716029182024,0.10965207937869217,0.029163649934455856,-0.05271982683412812,-0.2584817540431887
Latent_UncertaintyNorm_x_Window_1M->3M,0.22138592479589309,0.15234594765757029,-0.09658178969982772,0.21435326562574947,-0.06301430910199778,0.15181930495303825
Latent_UncertaintyNorm_x_Window_3M->6M,0.10746070939601318,0.007856516513742664,0.2016486794502735,-0.25586553768868275,0.363936721459116,-0.012837601745588392
Latent_UncertaintyNorm_x_Window_6M->12M,0.09323042105323177,-0.1462397376703092,-0.12309373516924421,-0.20244800448885394,-0.27182261332160695,-0.23285197100574276
Latent_UncertaintyNorm_x_Window_HighRisk,0.2874331938729884,0.022658514783432983,-0.03940674199721299,-0.11631914523293224,-0.02032714181103056,-0.04616405734300998
