Group,Family,Best_Model,AUC,PR_AUC,C_Index,Brier,Calibration_Intercept,Calibration_Slope,Threshold,Note
baseline_windowed_plus_champion_cal,fusion,Elastic LR,0.8487082968081268,0.3512269429351875,0.7557603686635944,0.06326262118890129,0.8491605363610993,1.518463151585629,0.13999999999999999,closest current transition best
g3_cluster_soft_state_windowed_plus_latent_cal,fusion,Elastic LR,0.8474191718661372,0.34541672983056043,0.7531017369727047,0.06315871931979168,0.8681523808698486,1.5134570536354373,0.15999999999999998,fusion with g3_cluster_soft_state
g5_residual_cluster_hybrid_windowed_plus_latent_cal,fusion,Elastic LR,0.8476769968545351,0.3411511400254182,0.7511520737327189,0.0633464333930688,0.8650563384821517,1.4945672704856414,0.13999999999999999,fusion with g5_residual_cluster_hybrid
g4_residual_pca_windowed_plus_latent_cal,fusion,Elastic LR,0.8483473418243697,0.34074980725231596,0.7511520737327189,0.0632081304757587,0.8687382555249005,1.5099186499538155,0.14999999999999997,fusion with g4_residual_pca
baseline_direct_windowed_anchor,direct,Logistic Reg.,0.84102511215387,0.3362205385886003,0.7215526409074796,0.06438215626894693,-0.11746860103209295,1.0301395816300198,0.14999999999999997,direct-only windowed anchor
g2_pca_manifold_windowed_plus_latent_cal,fusion,Elastic LR,0.8444284020007218,0.33342782111452385,0.7431761786600496,0.06358920149556538,0.7958403378394806,1.4638000580452126,0.14999999999999997,fusion with g2_pca_manifold
baseline_direct_anchor,direct,Logistic Reg.,0.8415407621306656,0.33050692574763696,0.7240340304856434,0.06445334818835406,-0.12023435104410654,1.0277517463793864,0.14999999999999997,direct-only transparent anchor
g1_delta_latent_windowed_plus_latent_cal,fusion,Elastic LR,0.8478316918475739,0.3204884596199168,0.7561148528890465,0.06350508896141469,0.8282427854222726,1.4785181000588155,0.17999999999999997,fusion with g1_delta_latent
g2_pca_manifold_sidecar_ref,sidecar,Elastic LR,0.8183365131748569,0.28941410480302854,0.729174051754697,0.06494517929629783,0.29618406184807217,1.1806018749119143,0.07999999999999999,compressed low-dimensional manifold of stage-1 continuous forecasts
g2_pca_manifold_sidecar_cal,sidecar,Calibrated,0.8120971484556283,0.2870480270240103,0.7181850407656859,0.06494971530402983,0.2325704522094473,1.139078235086229,0.10999999999999999,compressed low-dimensional manifold of stage-1 continuous forecasts; phase-calibrated
baseline_champion_sidecar_cal,sidecar,Calibrated,0.8363326973650287,0.27835257687269765,0.728287841191067,0.06678804619791227,-0.30923716836977616,0.9896108020046785,0.12999999999999998,phase calibrated task-like sidecar
baseline_champion_sidecar_ref,sidecar,Logistic Reg.,0.8361780023719898,0.27453979105570314,0.7215526409074796,0.06889038071135517,4.524400390499458,3.076469056632512,0.09999999999999999,current task-aligned sidecar
g3_cluster_soft_state_sidecar_cal,sidecar,Calibrated,0.7963182591656783,0.25095785814652044,0.7196029776674938,0.06720794876172186,0.5436400192772618,1.2923600651688263,0.12999999999999998,unsupervised physiology archetype memberships from predicted future labs; phase-calibrated
g4_residual_pca_sidecar_cal,sidecar,Calibrated,0.7976073841076676,0.2502806484624124,0.7001063452676356,0.06689816300985733,0.5098147083519582,1.2730218192907343,0.10999999999999999,residualized future physiology after removing current-window context; phase-calibrated
g1_delta_latent_sidecar_ref,sidecar,Elastic LR,0.8164801732583922,0.24772783385647196,0.7258064516129032,0.06919739449709286,-0.5016441247848873,0.7686030318204893,0.12999999999999998,continuous physiology forecast geometry only; no state/rule target proxy
g1_delta_latent_sidecar_cal,sidecar,Calibrated,0.8174599082143041,0.24580324529272826,0.7227933356965615,0.06676606844760864,0.13291560939427435,1.0750004883535849,0.12999999999999998,continuous physiology forecast geometry only; no state/rule target proxy; phase-calibrated
g3_cluster_soft_state_sidecar_ref,sidecar,Elastic LR,0.7771360800288765,0.23691526659124582,0.7211981566820277,0.06791856069787579,-0.1666217365162014,0.9662896779511989,0.10999999999999999,unsupervised physiology archetype memberships from predicted future labs
g4_residual_pca_sidecar_ref,sidecar,Logistic Reg.,0.7739906151704223,0.21768828913219115,0.6999291031549096,0.06888444720187445,0.25063680130566734,1.1559604972311348,0.09,residualized future physiology after removing current-window context
g5_residual_cluster_hybrid_sidecar_cal,sidecar,Calibrated,0.7635744856391482,0.21307160216026752,0.6297412265154201,0.068488649638046,0.35422725361019597,1.164617229529977,0.13999999999999999,residual manifold plus residual archetype memberships; phase-calibrated
g5_residual_cluster_hybrid_sidecar_ref,sidecar,Logistic Reg.,0.6801423193935957,0.15849995016654334,0.6104218362282878,0.07432252551549197,-1.0184714040898093,0.5761570283284498,0.11999999999999998,residual manifold plus residual archetype memberships
