feature,coefficient,abs_coefficient,selected
Latent_Delta_FT3,,,True
Latent_Uncertainty_FT3,,,True
Latent_SignAgreement_FT3,,,True
Latent_Next_FT3,,,True
Latent_NextMinusHistMean_FT3,,,True
Latent_NextZ_FT3,,,True
Latent_Delta_FT4,,,True
Latent_Uncertainty_FT4,,,True
Latent_SignAgreement_FT4,,,True
Latent_Next_FT4,,,True
Latent_NextMinusHistMean_FT4,,,True
Latent_NextZ_FT4,,,True
Latent_Delta_logTSH,,,True
Latent_Uncertainty_logTSH,,,True
Latent_SignAgreement_logTSH,,,True
Latent_Next_logTSH,,,True
Latent_NextMinusHistMean_logTSH,,,True
Latent_NextZ_logTSH,,,True
Latent_DeltaNorm,,,True
Latent_UncertaintyNorm,,,True
Latent_ForecastAgreement,,,True
Latent_FT4_minus_logTSH,,,True
Latent_FT4_over_logTSH_abs,,,True
Latent_Delta_FT4_x_Window_1M->3M,,,True
Latent_Delta_FT4_x_Window_3M->6M,,,True
Latent_Delta_FT4_x_Window_6M->12M,,,True
Latent_Delta_FT4_x_Window_HighRisk,,,True
Latent_Delta_logTSH_x_Window_1M->3M,,,True
Latent_Delta_logTSH_x_Window_3M->6M,,,True
Latent_Delta_logTSH_x_Window_6M->12M,,,True
Latent_Delta_logTSH_x_Window_HighRisk,,,True
Latent_DeltaNorm_x_Window_1M->3M,,,True
Latent_DeltaNorm_x_Window_3M->6M,,,True
Latent_DeltaNorm_x_Window_6M->12M,,,True
Latent_DeltaNorm_x_Window_HighRisk,,,True
Latent_UncertaintyNorm_x_Window_1M->3M,,,True
Latent_UncertaintyNorm_x_Window_3M->6M,,,True
Latent_UncertaintyNorm_x_Window_6M->12M,,,True
Latent_UncertaintyNorm_x_Window_HighRisk,,,True
