feature,coefficient,abs_coefficient,selected
g2_nh_Logit,,,True
g2_nh_Prob,,,True
g3_n_Logit,,,True
g3_n_Prob,,,True
g4_n_Logit,,,True
g4_n_Prob,,,True
g4_nh_Logit,,,True
g4_nh_Prob,,,True
committee_g2344_MeanLogit,,,True
committee_g2344_StdLogit,,,True
committee_g2344_MeanProb,,,True
committee_g2344_MaxProb,,,True
committee_g2344_MinProb,,,True
committee_g2344_SpreadProb,,,True
g2_nh_x_g3_n,,,True
g2_nh_minus_g3_n,,,True
g2_nh_x_g4_n,,,True
g2_nh_minus_g4_n,,,True
g2_nh_x_g4_nh,,,True
g2_nh_minus_g4_nh,,,True
g3_n_x_g4_n,,,True
g3_n_minus_g4_n,,,True
g3_n_x_g4_nh,,,True
g3_n_minus_g4_nh,,,True
g4_n_x_g4_nh,,,True
g4_n_minus_g4_nh,,,True
Window_12M->18M,,,True
Window_12M->18M_x_g2_nh_Logit,,,True
Window_12M->18M_x_g3_n_Logit,,,True
Window_12M->18M_x_g4_n_Logit,,,True
Window_12M->18M_x_g4_nh_Logit,,,True
Window_18M->24M,,,True
Window_18M->24M_x_g2_nh_Logit,,,True
Window_18M->24M_x_g3_n_Logit,,,True
Window_18M->24M_x_g4_n_Logit,,,True
Window_18M->24M_x_g4_nh_Logit,,,True
Window_1M->3M,,,True
Window_1M->3M_x_g2_nh_Logit,,,True
Window_1M->3M_x_g3_n_Logit,,,True
Window_1M->3M_x_g4_n_Logit,,,True
Window_1M->3M_x_g4_nh_Logit,,,True
Window_3M->6M,,,True
Window_3M->6M_x_g2_nh_Logit,,,True
Window_3M->6M_x_g3_n_Logit,,,True
Window_3M->6M_x_g4_n_Logit,,,True
Window_3M->6M_x_g4_nh_Logit,,,True
Window_6M->12M,,,True
Window_6M->12M_x_g2_nh_Logit,,,True
Window_6M->12M_x_g3_n_Logit,,,True
Window_6M->12M_x_g4_n_Logit,,,True
Window_6M->12M_x_g4_nh_Logit,,,True
