feature,coefficient,abs_coefficient,selected
Champion_Logit,,,True
Champion_Prob,,,True
Direct_Logit,,,True
Direct_Prob,,,True
committee_g2344_Logit,,,True
committee_g2344_Prob,,,True
fusion_committee_g2344_MeanLogit,,,True
fusion_committee_g2344_StdLogit,,,True
fusion_committee_g2344_MeanProb,,,True
fusion_committee_g2344_MaxProb,,,True
Champion_x_Direct,,,True
Champion_minus_Direct,,,True
Champion_x_committee_g2344,,,True
Champion_minus_committee_g2344,,,True
Direct_x_committee_g2344,,,True
Direct_minus_committee_g2344,,,True
Window_12M->18M,,,True
Window_12M->18M_x_Champion_Logit,,,True
Window_12M->18M_x_Direct_Logit,,,True
Window_12M->18M_x_committee_g2344_Logit,,,True
Window_18M->24M,,,True
Window_18M->24M_x_Champion_Logit,,,True
Window_18M->24M_x_Direct_Logit,,,True
Window_18M->24M_x_committee_g2344_Logit,,,True
Window_1M->3M,,,True
Window_1M->3M_x_Champion_Logit,,,True
Window_1M->3M_x_Direct_Logit,,,True
Window_1M->3M_x_committee_g2344_Logit,,,True
Window_3M->6M,,,True
Window_3M->6M_x_Champion_Logit,,,True
Window_3M->6M_x_Direct_Logit,,,True
Window_3M->6M_x_committee_g2344_Logit,,,True
Window_6M->12M,,,True
Window_6M->12M_x_Champion_Logit,,,True
Window_6M->12M_x_Direct_Logit,,,True
Window_6M->12M_x_committee_g2344_Logit,,,True
fusion_committee_g2344_Champion_x_LatentMean,,,True
fusion_committee_g2344_Direct_x_LatentMean,,,True
