Scope,Variant,Candidate,Base_Type,Feature_Selection,Calibration,Best_Model,PR_AUC,AUC,Brier,Threshold,Note
normal,g2_pca_manifold,normal_g2_pca_manifold_nofs_raw,raw,False,none,Elastic LR,0.2895165358978168,0.8182849481771772,0.06493699574620028,0.07999999999999999,compressed low-dimensional manifold of continuous stage-1 forecasts; scope=normal
normal,g2_pca_manifold,normal_g2_pca_manifold_nofs_cal_global,calibrated,False,global,Calibrated,0.2895165358978168,0.8182849481771772,0.06494598853095697,0.09999999999999999,compressed low-dimensional manifold of continuous stage-1 forecasts; scope=normal
normal,g2_pca_manifold,normal_g2_pca_manifold_fs_raw,raw,True,none,Elastic LR,0.2895165358978168,0.8182849481771772,0.06493699574620028,0.07999999999999999,compressed low-dimensional manifold of continuous stage-1 forecasts; scope=normal
normal,g2_pca_manifold,normal_g2_pca_manifold_fs_cal_global,calibrated,True,global,Calibrated,0.2895165358978168,0.8182849481771772,0.06494598853095697,0.09999999999999999,compressed low-dimensional manifold of continuous stage-1 forecasts; scope=normal
normal,g2_pca_manifold,normal_g2_pca_manifold_nofs_cal_phase,calibrated,False,phase,Calibrated,0.2871554741198419,0.8120971484556283,0.06494289555161756,0.10999999999999999,compressed low-dimensional manifold of continuous stage-1 forecasts; scope=normal
normal,g2_pca_manifold,normal_g2_pca_manifold_fs_cal_phase,calibrated,True,phase,Calibrated,0.2871554741198419,0.8120971484556283,0.06494289555161756,0.10999999999999999,compressed low-dimensional manifold of continuous stage-1 forecasts; scope=normal
normal,g2_pca_manifold,normal_g2_pca_manifold_nofs_cal_interval,calibrated,False,interval,Calibrated,0.2798812293809061,0.8086422936110967,0.06495653704343142,0.10999999999999999,compressed low-dimensional manifold of continuous stage-1 forecasts; scope=normal
normal,g2_pca_manifold,normal_g2_pca_manifold_fs_cal_interval,calibrated,True,interval,Calibrated,0.2798812293809061,0.8086422936110967,0.06495653704343142,0.10999999999999999,compressed low-dimensional manifold of continuous stage-1 forecasts; scope=normal
normal,g3_cluster_soft_state,normal_g3_cluster_soft_state_nofs_cal_interval,calibrated,False,interval,Calibrated,0.23132449304275907,0.7838910947249007,0.06734913525710023,0.12999999999999998,soft archetype memberships from predicted future physiology; scope=normal
normal,g3_cluster_soft_state,normal_g3_cluster_soft_state_fs_cal_interval,calibrated,True,interval,Calibrated,0.22873022932402864,0.782653534780591,0.06744482532831528,0.12999999999999998,soft archetype memberships from predicted future physiology; scope=normal
normal,g3_cluster_soft_state,normal_g3_cluster_soft_state_fs_raw,raw,True,none,Logistic Reg.,0.21874103522998628,0.7414015366369309,0.06898575748398326,0.10999999999999999,soft archetype memberships from predicted future physiology; scope=normal
normal,g3_cluster_soft_state,normal_g3_cluster_soft_state_fs_cal_global,calibrated,True,global,Calibrated,0.21874103522998628,0.7414015366369309,0.0691646396831944,0.09999999999999999,soft archetype memberships from predicted future physiology; scope=normal
normal,g3_cluster_soft_state,normal_g3_cluster_soft_state_nofs_raw,raw,False,none,Elastic LR,0.2187342922695011,0.7460423864280925,0.06881744696045299,0.10999999999999999,soft archetype memberships from predicted future physiology; scope=normal
normal,g3_cluster_soft_state,normal_g3_cluster_soft_state_nofs_cal_global,calibrated,False,global,Calibrated,0.2187342922695011,0.7460423864280925,0.06891966659567932,0.09999999999999999,soft archetype memberships from predicted future physiology; scope=normal
normal,g3_cluster_soft_state,normal_g3_cluster_soft_state_nofs_cal_phase,calibrated,False,phase,Calibrated,0.2163607464731447,0.7646573505904192,0.06820976542833782,0.12999999999999998,soft archetype memberships from predicted future physiology; scope=normal
normal,g3_cluster_soft_state,normal_g3_cluster_soft_state_fs_cal_phase,calibrated,True,phase,Calibrated,0.2124693002446036,0.7612540607435674,0.06838120553497977,0.12999999999999998,soft archetype memberships from predicted future physiology; scope=normal
normal,g4_residual_pca,normal_g4_residual_pca_nofs_cal_interval,calibrated,False,interval,Calibrated,0.2671415240024641,0.8041045738152942,0.06590394858079408,0.12999999999999998,residual manifold after removing current-window context; scope=normal
normal,g4_residual_pca,normal_g4_residual_pca_fs_cal_interval,calibrated,True,interval,Calibrated,0.2671415240024641,0.8041045738152942,0.06590394858079408,0.12999999999999998,residual manifold after removing current-window context; scope=normal
normal,g4_residual_pca,normal_g4_residual_pca_nofs_cal_phase,calibrated,False,phase,Calibrated,0.25062264412163915,0.7977620791007065,0.0668964686018534,0.10999999999999999,residual manifold after removing current-window context; scope=normal
