feature,coefficient,abs_coefficient,selected
Sex,,,True
Age,,,True
Height,,,True
Exophthalmos,,,True
ThyroidW,,,True
RAI3d,,,True
TGAb,,,True
TPOAb,,,True
Uptake24h,,,True
MaxUptake,,,True
HalfLife,,,True
Dose,,,True
Start_Time,,,True
Stop_Time,,,True
Prior_Relapse_Count,,,True
Event_Order,,,True
FT3_Current,,,True
FT4_Current,,,True
logTSH_Current,,,True
FT3_Baseline,,,True
logTSH_Baseline,,,True
FT3_Prev,,,True
FT3_Mean_ToDate,,,True
FT4_Mean_ToDate,,,True
logTSH_Mean_ToDate,,,True
FT3_STD_ToDate,,,True
logTSH_STD_ToDate,,,True
Ever_Hyper_Before,,,True
Ever_Hypo_Before,,,True
Time_In_Normal,,,True
Delta_TSH_k0,,,True
Delta_TSH_1step,,,True
Interval_Name_12M->18M,,,True
Interval_Name_1M->3M,,,True
Interval_Name_6M->12M,,,True
Prev_State_2,,,True
