,PC1,PC2,PC3,PC4,PC5,PC6
Latent_Delta_FT3,0.25973637187366116,0.15808397920675132,0.06335877058813622,0.15635198333528533,0.045061377321796464,-0.026963249122233444
Latent_Uncertainty_FT3,0.23697813628071374,0.036445416235745764,-0.19902386992774157,-0.07724031571266045,0.0485847402785242,0.1879502527564769
Latent_SignAgreement_FT3,0.08476616384375832,0.0950242950502683,0.08571606883414011,0.056190032657208136,0.010322610231104678,-0.22451389670222902
Latent_Next_FT3,0.25036919197036256,-0.05383780523745618,-0.04154813124551178,0.0260213257031394,0.014138577398279947,-0.18317916055928318
Latent_NextMinusHistMean_FT3,-0.07943016873066965,0.0703557420681366,-0.23898301873766828,0.21190795520388123,0.264032669632877,-0.10631938085063562
Latent_NextZ_FT3,0.05610117790195152,0.05503298531906648,-0.2336912379951766,0.23960401981850518,0.21239429308047433,-0.1260369922411271
Latent_Delta_FT4,0.10852503851079565,0.31294078774091755,0.16668500035901335,0.11554968099090915,0.046114041397456555,0.06527840860376385
Latent_Uncertainty_FT4,0.22967474218441009,0.01047596279063866,-0.2353681849391547,-0.1872954375597813,0.04150377928907955,0.254592184153443
Latent_SignAgreement_FT4,-0.0074895883707788305,0.10172838691722456,0.08476183149246826,0.0017029800366155693,-0.035708914291184536,-0.2805210496679684
Latent_Next_FT4,0.09687686827076564,0.007370629586229403,-0.25082541318126866,-0.06597732310731705,-0.03339295853034643,-0.08648823794847789
Latent_NextMinusHistMean_FT4,-0.09913665647641598,0.09242277584129652,-0.27352683350923224,0.1925893003359386,0.24491126633537325,-0.07018665829263773
Latent_NextZ_FT4,-0.02626798466139452,0.12325736703759646,-0.2631824081806787,0.21293715572785277,0.2182166410362315,-0.08598329977643913
Latent_Delta_logTSH,0.1408708821947122,-0.31824547122234903,0.0333963174672327,0.0020923083497532704,0.07496109937257872,-0.127997107219878
Latent_Uncertainty_logTSH,0.10379055784668803,0.10360374966487096,-0.10107780821994178,-0.09995267973497657,-0.03710437449339341,0.18179444589952415
