,PC1,PC2,PC3,PC4,PC5,PC6
Latent_Delta_FT3,0.28994517703847633,-0.06815169824464026,0.04829722228360271,0.15201465669131864,0.051540253408251885,-0.0033651124596461896
Latent_Uncertainty_FT3,0.24295267994480008,-0.007001389463217128,-0.16493020232039457,-0.16957712167194533,0.035410896839112256,0.2009407489787619
Latent_SignAgreement_FT3,0.09774300975110697,-0.04989416136741774,0.06997454789291879,0.1108785149292068,-0.0173201551917926,-0.2512990756581148
Latent_Next_FT3,0.23799556126920382,0.10275033181181595,-0.0688088754594709,0.026807551891291876,0.041003929640299946,-0.1648138634913389
Latent_NextMinusHistMean_FT3,-0.047119548850746644,-0.11919332264318505,-0.2549920857601342,0.1718284474248288,0.259218079533174,-0.052961976302007864
Latent_NextZ_FT3,0.07006306948942902,-0.06438925437638031,-0.24251655226870497,0.214623778065742,0.21953028854243728,-0.11436330285190485
Latent_Delta_FT4,0.18117905693217196,-0.2515900892774206,0.17870441886624286,0.13836336338610153,0.04704103003878387,0.08327330082908387
Latent_Uncertainty_FT4,0.24029907847893053,0.0022054215070336516,-0.18160895320383297,-0.22245502573458945,-0.005564440500884484,0.21588258645347852
Latent_SignAgreement_FT4,-0.0026519679198768863,-0.10280405036950419,0.07657104452378549,0.05852160085016555,-0.026989835364630996,-0.3090250716940639
Latent_Next_FT4,0.10172429883704805,-0.012839460485553124,-0.24458138800502646,-0.06991915371340993,0.007048299582195195,-0.14979529575470565
Latent_NextMinusHistMean_FT4,-0.05906543742358039,-0.14625629383096145,-0.28470855920976923,0.15045925151899012,0.23917960550674605,-0.030943209278314707
Latent_NextZ_FT4,0.02231141460513926,-0.14414559152861647,-0.2671144240564895,0.19014115266986995,0.22028431898247655,-0.06675690785771687
Latent_Delta_logTSH,0.06423534357248355,0.3503802570351675,-0.012777901218227,0.0005713261880283198,0.07477537623952556,-0.1198219466833144
Latent_Uncertainty_logTSH,0.15530678826928965,-0.06834834163372766,-0.09636105996883393,-0.16174803106062197,-0.030431983886342467,0.19231035043331468
Latent_SignAgreement_logTSH,0.026829924413945442,0.09275218920777695,0.032539500402977525,0.0027198653033362274,-0.016531298024097554,-0.2617884050507697
