feature,coef,abs_coef,family,pretty_feature,odds_ratio,is_active,direction,family_order
Time_In_Normal,-0.7660406844247973,0.7660406844247973,State memory,Time spent in Normal,0.46484991709655393,True,Risk down,1
Ever_Hypo_Before,-0.3844796483266259,0.3844796483266259,State memory,Had Hypo before,0.6808048019691679,True,Risk down,1
ThyroidW,0.3674480458337086,0.3674480458337086,Baseline clinic,Thyroid weight,1.4440447724383683,True,Risk up,5
FT3_Current,0.3059281750917059,0.3059281750917059,Current physiology,Current FT3,1.3578847730959671,True,Risk up,0
Delta_TSH_k0,-0.23125494724301188,0.23125494724301188,Trajectory,logTSH change vs 0M,0.7935371301402926,True,Risk down,2
Window_12M->18M,-0.07194694923845088,0.07194694923845088,Follow-up window,Window 12M->18M,0.9305802624933319,True,Risk down,3
logTSH_Current,-0.07049051773420689,0.07049051773420689,Current physiology,Current logTSH,0.931936576354223,True,Risk down,0
FT4_Current,-0.05425447526921084,0.05425447526921084,Current physiology,Current FT4,0.9471910391355797,True,Risk down,0
Window_18M->24M,-0.05289134580369832,0.05289134580369832,Follow-up window,Window 18M->24M,0.948483063548707,True,Risk down,3
Window_6M->12M,0.048700641781660885,0.048700641781660885,Follow-up window,Window 6M->12M,1.0499060057002,True,Risk up,3
Height,-0.043440342243615045,0.043440342243615045,Baseline clinic,Height,0.9574896740728419,True,Risk down,5
Delta_FT4_1step,-0.027607041535241076,0.027607041535241076,Trajectory,FT4 change vs prior visit,0.972770550127183,True,Risk down,2
Delta_FT4_k0,-0.01549239892053702,0.01549239892053702,Trajectory,FT4 change vs 0M,0.9846269909512886,True,Risk down,2
TPOAb,0.01311974342785369,0.01311974342785369,Baseline clinic,TPOAb,1.0132061848778764,True,Risk up,5
PrevState_1,-0.0078456029024498,0.0078456029024498,Previous state,Prev Normal,0.9921850935102556,True,Risk down,4
Uptake24h,0.004226245076183907,0.004226245076183907,Baseline clinic,24h uptake,1.0042351882441407,True,Risk up,5
PrevState_2,0.0013372973323836621,0.0013372973323836621,Previous state,Prev Hypo,1.0013381919131903,True,Risk up,4
Age,0.0,0.0,Baseline clinic,Age,1.0,False,Zeroed,5
BMI,0.0,0.0,Baseline clinic,BMI,1.0,False,Zeroed,5
Delta_TSH_1step,0.0,0.0,Trajectory,logTSH change vs prior visit,1.0,False,Zeroed,2
Dose,0.0,0.0,Baseline clinic,Dose,1.0,False,Zeroed,5
Ever_Hyper_Before,0.0,0.0,State memory,Had Hyper before,1.0,False,Zeroed,1
Exophthalmos,0.0,0.0,Baseline clinic,Exophthalmos,1.0,False,Zeroed,5
HalfLife,0.0,0.0,Baseline clinic,Effective half-life,1.0,False,Zeroed,5
MaxUptake,0.0,0.0,Baseline clinic,Max uptake,1.0,False,Zeroed,5
PrevState_0,0.0,0.0,Previous state,Prev Hyper,1.0,False,Zeroed,4
RAI3d,0.0,0.0,Baseline clinic,RAI 3d uptake,1.0,False,Zeroed,5
Sex,0.0,0.0,Baseline clinic,Sex,1.0,False,Zeroed,5
TGAb,0.0,0.0,Baseline clinic,TGAb,1.0,False,Zeroed,5
TRAb,0.0,0.0,Baseline clinic,TRAb,1.0,False,Zeroed,5
TreatCount,0.0,0.0,Baseline clinic,Prior treatment count,1.0,False,Zeroed,5
Weight,0.0,0.0,Baseline clinic,Weight,1.0,False,Zeroed,5
Window_1M->3M,0.0,0.0,Follow-up window,Window 1M->3M,1.0,False,Zeroed,3
Window_3M->6M,0.0,0.0,Follow-up window,Window 3M->6M,1.0,False,Zeroed,3
