feature,coef,abs_coef
Ever_Hypo_Before,-1.079464220116894,1.079464220116894
Time_In_Normal,-0.8075257406166231,0.8075257406166231
Prev_State_2,0.6405998437906142,0.6405998437906142
ThyroidW,0.6027685506580648,0.6027685506580648
FT3_Current,0.3808714123960225,0.3808714123960225
Delta_TSH_k0,-0.2992051818132985,0.2992051818132985
logTSH_Current,-0.19160637254620697,0.19160637254620697
FT4_Current,-0.1695082474554479,0.1695082474554479
RAI3d,-0.12811862330020474,0.12811862330020474
Delta_TSH_1step,0.11590599891389972,0.11590599891389972
TRAb,-0.10545186472821388,0.10545186472821388
Height,-0.09283614693565682,0.09283614693565682
Interval_Name_18M->24M,-0.09264075204272373,0.09264075204272373
TPOAb,0.08674473223905589,0.08674473223905589
Prev_State_0,-0.08672151851259231,0.08672151851259231
Interval_Name_6M->12M,0.08297662461695608,0.08297662461695608
Interval_Name_12M->18M,-0.07931735605230163,0.07931735605230163
Delta_FT4_k0,-0.07717582614518559,0.07717582614518559
TGAb,-0.05971724333305351,0.05971724333305351
Dose,-0.05350830198728308,0.05350830198728308
Uptake24h,0.05164041715614974,0.05164041715614974
Interval_Name_1M->3M,0.04716796969098133,0.04716796969098133
Weight,-0.04677836246780767,0.04677836246780767
Sex,0.042448472338350904,0.042448472338350904
TreatCount,0.04063844656200476,0.04063844656200476
Age,0.037160656914664573,0.037160656914664573
Delta_FT4_1step,-0.03192072855328767,0.03192072855328767
MaxUptake,0.025239831901230577,0.025239831901230577
Exophthalmos,0.018235558664034292,0.018235558664034292
HalfLife,-0.01158424309440838,0.01158424309440838
BMI,0.0,0.0
Interval_Name_3M->6M,0.0,0.0
Prev_State_1,0.0,0.0
